"ENSG","geneName","description"
"ENSPTRG00000004250","ATM","ATM serine/threonine kinase [Source:VGNC Symbol;Acc:VGNC:11264]"
"ENSPTRG00000004259","RDX","radixin [Source:VGNC Symbol;Acc:VGNC:1029]"
"ENSPTRG00000004661","CLEC2B","C-type lectin domain family 2 member B [Source:VGNC Symbol;Acc:VGNC:8374]"
"ENSPTRG00000004708","APOLD1","apolipoprotein L domain containing 1 [Source:VGNC Symbol;Acc:VGNC:4928]"
"ENSPTRG00000005163","USP15","ubiquitin specific peptidase 15 [Source:VGNC Symbol;Acc:VGNC:5645]"
"ENSPTRG00000004928","LIMA1","LIM domain and actin binding 1 [Source:VGNC Symbol;Acc:VGNC:5453]"
"ENSPTRG00000004861","RPAP3","RNA polymerase II associated protein 3 [Source:VGNC Symbol;Acc:VGNC:8608]"
"ENSPTRG00000004853","ARID2","AT-rich interaction domain 2 [Source:VGNC Symbol;Acc:VGNC:4933]"
"ENSPTRG00000004840","PRICKLE1","prickle planar cell polarity protein 1 [Source:VGNC Symbol;Acc:VGNC:5545]"
"ENSPTRG00000004834","CNTN1","contactin 1 [Source:VGNC Symbol;Acc:VGNC:5342]"
"ENSPTRG00000004826","C12H12orf40","chromosome 12 C12orf40 homolog [Source:VGNC Symbol;Acc:VGNC:4954]"
"ENSPTRG00000004795","CCDC91","coiled-coil domain containing 91 [Source:VGNC Symbol;Acc:VGNC:51249]"
"ENSPTRG00000004782","INTS13","integrator complex subunit 13 [Source:VGNC Symbol;Acc:VGNC:8341]"
"ENSPTRG00000004767","C2CD5","C2 calcium dependent domain containing 5 [Source:VGNC Symbol;Acc:VGNC:8594]"
"ENSPTRG00000005228","TBC1D15","TBC1 domain family member 15 [Source:VGNC Symbol;Acc:VGNC:5612]"
"ENSPTRG00000005237","GLIPR1","GLI pathosis related 1 [Source:VGNC Symbol;Acc:VGNC:8411]"
"ENSPTRG00000005238","KRR1","KRR1 small subunit processome component homolog [Source:VGNC Symbol;Acc:VGNC:10079]"
"ENSPTRG00000005243","ZDHHC17","zinc finger DHHC-type palmitoyltransferase 17 [Source:VGNC Symbol;Acc:VGNC:8614]"
"ENSPTRG00000005265","PPFIA2","PTPRF interacting protein alpha 2 [Source:VGNC Symbol;Acc:VGNC:8493]"
"ENSPTRG00000005268","TMTC2","transmembrane O-mannosyltransferase targeting cadherins 2 [Source:VGNC Symbol;Acc:VGNC:13482]"
"ENSPTRG00000005278","CEP290","centrosomal protein 290 [Source:VGNC Symbol;Acc:VGNC:5334]"
"ENSPTRG00000005289","LUM","lumican [Source:VGNC Symbol;Acc:VGNC:5464]"
"ENSPTRG00000005295","EEA1","early endosome antigen 1 [Source:VGNC Symbol;Acc:VGNC:5362]"
"ENSPTRG00000005302","CEP83","centrosomal protein 83 [Source:VGNC Symbol;Acc:VGNC:5335]"
"ENSPTRG00000005326","CFAP54","cilia and flagella associated protein 54 [Source:VGNC Symbol;Acc:VGNC:5337]"
"ENSPTRG00000005383","WASHC4","WASH complex subunit 4 [Source:VGNC Symbol;Acc:VGNC:5440]"
"ENSPTRG00000005579","ZCCHC8","zinc finger CCHC-type containing 8 [Source:VGNC Symbol;Acc:VGNC:14419]"
"ENSPTRG00000022681","ZNF84","zinc finger protein 84 [Source:VGNC Symbol;Acc:VGNC:5659]"
"ENSPTRG00000005680","ZMYM2","zinc finger MYM-type containing 2 [Source:VGNC Symbol;Acc:VGNC:13156]"
"ENSPTRG00000005771","PDS5B","PDS5 cohesin associated factor B [Source:VGNC Symbol;Acc:VGNC:5094]"
"ENSPTRG00000005775","NBEA","neurobeachin [Source:VGNC Symbol;Acc:VGNC:5084]"
"ENSPTRG00000005864","RB1","RB transcriptional corepressor 1 [Source:VGNC Symbol;Acc:VGNC:14463]"
"ENSPTRG00000005873","SETDB2","SET domain bifurcated histone lysine methyltransferase 2 [Source:VGNC Symbol;Acc:VGNC:7303]"
"ENSPTRG00000005927","PIBF1","progesterone immunomodulatory binding factor 1 [Source:VGNC Symbol;Acc:VGNC:5096]"
"ENSPTRG00000005943","MYCBP2","MYC binding protein 2 [Source:VGNC Symbol;Acc:VGNC:84273]"
"ENSPTRG00000005949","RBM26","RNA binding motif protein 26 [Source:VGNC Symbol;Acc:VGNC:13132]"
"ENSPTRG00000005950","NDFIP2","Nedd4 family interacting protein 2 [Source:VGNC Symbol;Acc:VGNC:5085]"
"ENSPTRG00000005977","UGGT2","UDP-glucose glycoprotein glucosyltransferase 2 [Source:VGNC Symbol;Acc:VGNC:7307]"
"ENSPTRG00000005994","UBAC2","UBA domain containing 2 [Source:VGNC Symbol;Acc:VGNC:5129]"
"ENSPTRG00000005805","COG6","component of oligomeric golgi complex 6 [Source:VGNC Symbol;Acc:VGNC:5049]"
"ENSPTRG00000005811","ELF1","E74 like ETS transcription factor 1 [Source:VGNC Symbol;Acc:VGNC:8875]"
"ENSPTRG00000005823","DGKH","diacylglycerol kinase eta [Source:VGNC Symbol;Acc:VGNC:14531]"
"ENSPTRG00000006235","SCFD1","sec1 family domain containing 1 [Source:VGNC Symbol;Acc:VGNC:3317]"
"ENSPTRG00000006290","SEC23A","SEC23 homolog A, COPII coat complex component [Source:VGNC Symbol;Acc:VGNC:6788]"
"ENSPTRG00000006297","MIA2","MIA SH3 domain ER export factor 2 [Source:HGNC Symbol;Acc:HGNC:18432]"
"ENSPTRG00000006308","MIS18BP1","MIS18 binding protein 1 [Source:VGNC Symbol;Acc:VGNC:3381]"
"ENSPTRG00000006332","MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5 [Source:VGNC Symbol;Acc:VGNC:7447]"
"ENSPTRG00000006357","DDHD1","DDHD domain containing 1 [Source:VGNC Symbol;Acc:VGNC:3442]"
"ENSPTRG00000006408","C14H14orf39","chromosome 14 C14orf39 homolog [Source:VGNC Symbol;Acc:VGNC:3462]"
"ENSPTRG00000006641","TC2N","tandem C2 domains, nuclear [Source:VGNC Symbol;Acc:VGNC:12479]"
"ENSPTRG00000006867","ARHGAP11A","Rho GTPase activating protein 11A [Source:VGNC Symbol;Acc:VGNC:11816]"
"ENSPTRG00000006925","KNL1","kinetochore scaffold 1 [Source:VGNC Symbol;Acc:VGNC:6447]"
"ENSPTRG00000007042","MYEF2","myelin expression factor 2 [Source:VGNC Symbol;Acc:VGNC:1910]"
"ENSPTRG00000007072","AP4E1","adaptor related protein complex 4 subunit epsilon 1 [Source:VGNC Symbol;Acc:VGNC:6443]"
"ENSPTRG00000007105","TEX9","testis expressed 9 [Source:VGNC Symbol;Acc:VGNC:1602]"
"ENSPTRG00000007107","ZNF280D","zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]"
"ENSPTRG00000007135","VPS13C","vacuolar protein sorting 13 homolog C [Source:VGNC Symbol;Acc:VGNC:10173]"
"ENSPTRG00000007182","DPP8","dipeptidyl peptidase 8 [Source:VGNC Symbol;Acc:VGNC:7414]"
"ENSPTRG00000007308","UBE2Q2","ubiquitin conjugating enzyme E2 Q2 [Source:VGNC Symbol;Acc:VGNC:3520]"
"ENSPTRG00000007311","FBXO22","F-box protein 22 [Source:VGNC Symbol;Acc:VGNC:3544]"
"ENSPTRG00000007316","SCAPER","S-phase cyclin A associated protein in the ER [Source:VGNC Symbol;Acc:VGNC:10414]"
"ENSPTRG00000007478","CHD2","chromodomain helicase DNA binding protein 2 [Source:VGNC Symbol;Acc:VGNC:3564]"
"ENSPTRG00000007496","MEF2A","myocyte enhancer factor 2A [Source:VGNC Symbol;Acc:VGNC:1917]"
"ENSPTRG00000025248","U8","U8 small nucleolar RNA [Source:RFAM;Acc:RF00096]"
"ENSPTRG00000007782","TNFRSF17","TNF receptor superfamily member 17 [Source:VGNC Symbol;Acc:VGNC:5944]"
"ENSPTRG00000008079","VPS35","VPS35 retromer complex component [Source:VGNC Symbol;Acc:VGNC:9200]"
"ENSPTRG00000008082","C16H16orf87","chromosome 16 C16orf87 homolog [Source:VGNC Symbol;Acc:VGNC:5692]"
"ENSPTRG00000008113","CHD9","chromodomain helicase DNA binding protein 9 [Source:VGNC Symbol;Acc:VGNC:5734]"
"ENSPTRG00000008117","RPGRIP1L","RPGRIP1 like [Source:VGNC Symbol;Acc:VGNC:10368]"
"ENSPTRG00000009105","ZPBP2","zona pellucida binding protein 2 [Source:VGNC Symbol;Acc:VGNC:9809]"
"ENSPTRG00000009026","TAF15","TATA-box binding protein associated factor 15 [Source:VGNC Symbol;Acc:VGNC:12716]"
"ENSPTRG00000008973","EVI2A","ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]"
"ENSPTRG00000008972","EVI2B","ecotropic viral integration site 2B [Source:VGNC Symbol;Acc:VGNC:9278]"
"ENSPTRG00000008957","NSRP1","nuclear speckle splicing regulatory protein 1 [Source:VGNC Symbol;Acc:VGNC:9482]"
"ENSPTRG00000008956","EFCAB5","EF-hand calcium binding domain 5 [Source:VGNC Symbol;Acc:VGNC:9269]"
"ENSPTRG00000008955","SSH2","slingshot protein phosphatase 2 [Source:VGNC Symbol;Acc:VGNC:12698]"
"ENSPTRG00000008948","TAOK1","TAO kinase 1 [Source:VGNC Symbol;Acc:VGNC:9675]"
"ENSPTRG00000009409","LUC7L3","LUC7 like 3 pre-mRNA splicing factor [Source:VGNC Symbol;Acc:VGNC:9363]"
"ENSPTRG00000009453","HSF5","heat shock transcription factor 5 [Source:VGNC Symbol;Acc:VGNC:9328]"
"ENSPTRG00000009472","CLTC","clathrin heavy chain [Source:VGNC Symbol;Acc:VGNC:9237]"
"ENSPTRG00000009568","BPTF","bromodomain PHD finger transcription factor [Source:VGNC Symbol;Acc:VGNC:9224]"
"ENSPTRG00000009587","ABCA5","ATP binding cassette subfamily A member 5 [Source:VGNC Symbol;Acc:VGNC:6318]"
"ENSPTRG00000008803","ZNF286A","zinc finger protein 286A [Source:VGNC Symbol;Acc:VGNC:14223]"
"ENSPTRG00000009857","ANKRD12","ankyrin repeat domain 12 [Source:VGNC Symbol;Acc:VGNC:5140]"
"ENSPTRG00000009856","NDUFV2","NADH:ubiquinone oxidoreductase core subunit V2 [Source:NCBI gene (formerly Entrezgene);Acc:455295]"
"ENSPTRG00000009908","ESCO1","establishment of sister chromatid cohesion N-acetyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:5167]"
"ENSPTRG00000009963","NOL4","nucleolar protein 4 [Source:VGNC Symbol;Acc:VGNC:5192]"
"ENSPTRG00000027004","SNORA37","small nucleolar RNA, H/ACA box 37 [Source:HGNC Symbol;Acc:HGNC:32630]"
"ENSPTRG00000010036","C18H18orf54","chromosome 18 C18orf54 homolog [Source:VGNC Symbol;Acc:VGNC:5145]"
"ENSPTRG00000010072","PIGN","phosphatidylinositol glycan anchor biosynthesis class N [Source:VGNC Symbol;Acc:VGNC:5194]"
"ENSPTRG00000010083","VPS4B","vacuolar protein sorting 4 homolog B [Source:VGNC Symbol;Acc:VGNC:5222]"
"ENSPTRG00000010103","RTTN","rotatin [Source:VGNC Symbol;Acc:VGNC:5202]"
"ENSPTRG00000011117","ZNF180","zinc finger protein 180 [Source:VGNC Symbol;Acc:VGNC:11470]"
"ENSPTRG00000011207","DHX34","DExH-box helicase 34 [Source:VGNC Symbol;Acc:VGNC:7554]"
"ENSPTRG00000029594","MACO1","macoilin 1 [Source:VGNC Symbol;Acc:VGNC:53227]"
"ENSPTRG00000013228","GPCPD1","glycerophosphocholine phosphodiesterase 1 [Source:VGNC Symbol;Acc:VGNC:9865]"
"ENSPTRG00000013641","PFDN4","prefoldin subunit 4 [Source:VGNC Symbol;Acc:VGNC:14277]"
"ENSPTRG00000027690","ptr-mir-155","ptr-mir-155 [Source:miRBase;Acc:MI0008554]"
"ENSPTRG00000013898","TTC3","tetratricopeptide repeat domain 3 [Source:VGNC Symbol;Acc:VGNC:1117]"
"ENSPTRG00000011668","NBAS","NBAS subunit of NRZ tethering complex [Source:VGNC Symbol;Acc:VGNC:325]"
"ENSPTRG00000011686","WDR35","WD repeat domain 35 [Source:VGNC Symbol;Acc:VGNC:420]"
"ENSPTRG00000011801","LCLAT1","lysocardiolipin acyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:287]"
"ENSPTRG00000011825","FAM98A","family with sequence similarity 98 member A [Source:VGNC Symbol;Acc:VGNC:2936]"
"ENSPTRG00000011830","STRN","striatin [Source:VGNC Symbol;Acc:VGNC:10777]"
"ENSPTRG00000011836","CEBPZ","CCAAT enhancer binding protein zeta [Source:VGNC Symbol;Acc:VGNC:189]"
"ENSPTRG00000011849","HNRNPLL","heteroous nuclear ribonucleoprotein L like [Source:VGNC Symbol;Acc:VGNC:6390]"
"ENSPTRG00000011857","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:VGNC Symbol;Acc:VGNC:6658]"
"ENSPTRG00000011858","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3 [Source:VGNC Symbol;Acc:VGNC:300]"
"ENSPTRG00000011867","MTA3","metastasis associated 1 family member 3 [Source:VGNC Symbol;Acc:VGNC:315]"
"ENSPTRG00000011873","THADA","THADA armadillo repeat containing [Source:VGNC Symbol;Acc:VGNC:10289]"
"ENSPTRG00000011916","ASB3","ankyrin repeat and SOCS box containing 3 [Source:VGNC Symbol;Acc:VGNC:10522]"
"ENSPTRG00000011931","CCDC88A","coiled-coil domain containing 88A [Source:VGNC Symbol;Acc:VGNC:205]"
"ENSPTRG00000011941","VRK2","VRK serine/threonine kinase 2 [Source:VGNC Symbol;Acc:VGNC:413]"
"ENSPTRG00000011942","FANCL","FA complementation group L [Source:VGNC Symbol;Acc:VGNC:317]"
"ENSPTRG00000011954","SANBR","SANT and BTB domain regulator of CSR [Source:VGNC Symbol;Acc:VGNC:284]"
"ENSPTRG00000011959","USP34","ubiquitin specific peptidase 34 [Source:VGNC Symbol;Acc:VGNC:405]"
"ENSPTRG00000011978","VPS54","VPS54 subunit of GARP complex [Source:VGNC Symbol;Acc:VGNC:2920]"
"ENSPTRG00000041359","Metazoa_SRP","Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]"
"ENSPTRG00000023495","TIA1","TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]"
"ENSPTRG00000012356","ANAPC1","anaphase promoting complex subunit 1 [Source:VGNC Symbol;Acc:VGNC:10519]"
"ENSPTRG00000012362","ZC3H8","zinc finger CCCH-type containing 8 [Source:VGNC Symbol;Acc:VGNC:7702]"
"ENSPTRG00000012387","SLC35F5","solute carrier family 35 member F5 [Source:VGNC Symbol;Acc:VGNC:9058]"
"ENSPTRG00000012406","PTPN4","protein tyrosine phosphatase non-receptor type 4 [Source:VGNC Symbol;Acc:VGNC:14346]"
"ENSPTRG00000012491","RAB3GAP1","RAB3 GTPase activating protein catalytic subunit 1 [Source:VGNC Symbol;Acc:VGNC:2796]"
"ENSPTRG00000012500","DARS1","aspartyl-tRNA synthetase 1 [Source:VGNC Symbol;Acc:VGNC:10739]"
"ENSPTRG00000012504","SPOPL","speckle type BTB/POZ protein like [Source:VGNC Symbol;Acc:VGNC:2865]"
"ENSPTRG00000012508","LRP1B","LDL receptor related protein 1B [Source:VGNC Symbol;Acc:VGNC:1989]"
"ENSPTRG00000012518","EPC2","enhancer of polycomb homolog 2 [Source:HGNC Symbol;Acc:HGNC:24543]"
"ENSPTRG00000012549","GPD2","glycerol-3-phosphate dehydrogenase 2 [Source:VGNC Symbol;Acc:VGNC:1947]"
"ENSPTRG00000012574","TANK","TRAF family member associated NFKB activator [Source:VGNC Symbol;Acc:VGNC:2877]"
"ENSPTRG00000012575","PSMD14","proteasome 26S subunit, non-ATPase 14 [Source:VGNC Symbol;Acc:VGNC:2791]"
"ENSPTRG00000012594","TTC21B","tetratricopeptide repeat domain 21B [Source:VGNC Symbol;Acc:VGNC:2896]"
"ENSPTRG00000012597","SCN9A","sodium voltage-gated channel alpha subunit 9 [Source:VGNC Symbol;Acc:VGNC:14356]"
"ENSPTRG00000012605","SPC25","SPC25 component of NDC80 kinetochore complex [Source:VGNC Symbol;Acc:VGNC:14438]"
"ENSPTRG00000012617","PPIG","peptidylprolyl isomerase G [Source:VGNC Symbol;Acc:VGNC:14343]"
"ENSPTRG00000012620","SSB","small RNA binding exonuclease protection factor La [Source:VGNC Symbol;Acc:VGNC:2867]"
"ENSPTRG00000012674","MTX2","metaxin 2 [Source:VGNC Symbol;Acc:VGNC:2024]"
"ENSPTRG00000012680","AGPS","alkylglycerone phosphate synthase [Source:VGNC Symbol;Acc:VGNC:50326]"
"ENSPTRG00000012690","PLEKHA3","pleckstrin homology domain containing A3 [Source:VGNC Symbol;Acc:VGNC:14340]"
"ENSPTRG00000012700","ITGA4","integrin subunit alpha 4 [Source:VGNC Symbol;Acc:VGNC:2704]"
"ENSPTRG00000012701","CERKL","ceramide kinase like [Source:VGNC Symbol;Acc:VGNC:130]"
"ENSPTRG00000012722","CALCRL","calcitonin receptor like receptor [Source:VGNC Symbol;Acc:VGNC:117]"
"ENSPTRG00000006601","COL5A2","collagen type V alpha 2 chain [Source:VGNC Symbol;Acc:VGNC:10725]"
"ENSPTRG00000012747","GLS","glutaminase [Source:VGNC Symbol;Acc:VGNC:443]"
"ENSPTRG00000012756","TMEFF2","transmembrane protein with EGF like and two follistatin like domains 2 [Source:VGNC Symbol;Acc:VGNC:2884]"
"ENSPTRG00000012761","DNAH7","dynein axonemal heavy chain 7 [Source:VGNC Symbol;Acc:VGNC:166]"
"ENSPTRG00000012777","BOLL","boule homolog, RNA binding protein [Source:VGNC Symbol;Acc:VGNC:106]"
"ENSPTRG00000012866","PIKFYVE","phosphoinositide kinase, FYVE-type zinc finger containing [Source:VGNC Symbol;Acc:VGNC:2754]"
"ENSPTRG00000012876","ACADL","acyl-CoA dehydrogenase long chain [Source:VGNC Symbol;Acc:VGNC:14310]"
"ENSPTRG00000012921","CNOT9","CCR4-NOT transcription complex subunit 9 [Source:VGNC Symbol;Acc:VGNC:10076]"
"ENSPTRG00000012976","ACSL3","acyl-CoA synthetase long chain family member 3 [Source:VGNC Symbol;Acc:VGNC:54]"
"ENSPTRG00000012995","AGFG1","ArfGAP with FG repeats 1 [Source:VGNC Symbol;Acc:VGNC:10553]"
"ENSPTRG00000014699","TOP2B","DNA topoisomerase II beta [Source:VGNC Symbol;Acc:VGNC:8848]"
"ENSPTRG00000014824","KIAA1143","KIAA1143 [Source:VGNC Symbol;Acc:VGNC:11421]"
"ENSPTRG00000015045","APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:VGNC Symbol;Acc:VGNC:8730]"
"ENSPTRG00000015160","TBC1D23","TBC1 domain family member 23 [Source:VGNC Symbol;Acc:VGNC:7129]"
"ENSPTRG00000015182","ALCAM","activated leukocyte cell adhesion molecule [Source:VGNC Symbol;Acc:VGNC:1729]"
"ENSPTRG00000015193","CIP2A","cellular inhibitor of PP2A [Source:VGNC Symbol;Acc:VGNC:6350]"
"ENSPTRG00000024365","DZIP3","DAZ interacting zinc finger protein 3 [Source:VGNC Symbol;Acc:VGNC:7059]"
"ENSPTRG00000030160","CFAP44","cilia and flagella associated protein 44 [Source:VGNC Symbol;Acc:VGNC:11375]"
"ENSPTRG00000015274","STXBP5L","syntaxin binding protein 5L [Source:VGNC Symbol;Acc:VGNC:2597]"
"ENSPTRG00000015320","SNX4","sorting nexin 4 [Source:VGNC Symbol;Acc:VGNC:2568]"
