chr_name	ensembl_id	gene_symbol	gene_start	gene_end	gene_strand	te_name	te_start	te_end	te_strand	strand_relation
chr1	ENSPTRG00000001722	RALGPS2	157239844	157425057	+	L1M5	157299370	157299511	-	Antisense
chr1	ENSPTRG00000001738	CEP350	158466743	158627480	+	L2c	158608805	158608962	+	Sense
chr1	ENSPTRG00000001776	TRMT1L	163736673	163775629	-	AluSz6	163757379	163757583	-	Sense
chr1	ENSPTRG00000001776	TRMT1L	163736673	163775629	-	MIR3	163766070	163766161	+	Antisense
chr1	ENSPTRG00000001776	TRMT1L	163736673	163775629	-	L2	163766238	163766555	+	Antisense
chr1	ENSPTRG00000001776	TRMT1L	163736673	163775629	-	Tigger12c	163756971	163757140	+	Antisense
chr1	ENSPTRG00000001776	TRMT1L	163736673	163775629	-	L2c	163755719	163755813	+	Antisense
chr1	ENSPTRG00000001784	ODR4	165001130	165043951	+	L2c	165010245	165010536	-	Antisense
chr1	ENSPTRG00000001784	ODR4	165001130	165043951	+	Zaphod2	165011266	165011526	-	Antisense
chr1	ENSPTRG00000001807	ASPM	175788896	175841858	-	L1MD2	175804290	175805802	+	Antisense
chr1	ENSPTRG00000001815	NEK7	176863349	177027704	+	MER58A	176867643	176867798	-	Antisense
chr1	ENSPTRG00000001815	NEK7	176863349	177027704	+	MER103C	176884813	176885044	-	Antisense
chr1	ENSPTRG00000001815	NEK7	176863349	177027704	+	L1M5	176897597	176898426	-	Antisense
chr1	ENSPTRG00000001815	NEK7	176863349	177027704	+	L3	176896858	176896946	+	Sense
chr1	ENSPTRG00000001815	NEK7	176863349	177027704	+	L1M5	176897467	176897583	-	Antisense
chr1	ENSPTRG00000001817	PTPRC	177359409	177478533	+	L2c	177361169	177361296	+	Sense
chr1	ENSPTRG00000001817	PTPRC	177359409	177478533	+	MADE2	177389365	177389444	+	Sense
chr1	ENSPTRG00000001822	CAMSAP2	179488264	179610562	+	L1ME2	179532572	179534156	-	Antisense
chr1	ENSPTRG00000001822	CAMSAP2	179488264	179610562	+	AluY	179552717	179553018	-	Antisense
chr1	ENSPTRG00000001822	CAMSAP2	179488264	179610562	+	L2c	179553406	179553483	-	Antisense
chr1	ENSPTRG00000001822	CAMSAP2	179488264	179610562	+	AluJb	179582657	179582951	+	Sense
chr1	ENSPTRG00000001822	CAMSAP2	179488264	179610562	+	AluJb	179582271	179582473	+	Sense
chr1	ENSPTRG00000001822	CAMSAP2	179488264	179610562	+	AluJb	179532263	179532572	-	Antisense
chr1	ENSPTRG00000001955	INTS7	191061953	191158120	-	MIRb	191128694	191128789	+	Antisense
chr1	ENSPTRG00000001955	INTS7	191061953	191158120	-	AluJr	191105731	191106044	-	Sense
chr1	ENSPTRG00000001955	INTS7	191061953	191158120	-	L1ME4a	191106229	191106491	-	Sense
chr1	ENSPTRG00000001972	RPS6KC1	192187203	192400149	+	FAM	192233744	192233884	-	Antisense
chr1	ENSPTRG00000001997	IARS2	199275398	199329585	+	AluJo	199286972	199287079	-	Antisense
chr1	ENSPTRG00000001997	IARS2	199275398	199329585	+	MIR	199287485	199287651	-	Antisense
chr1	ENSPTRG00000002012	BROX	201980279	202000407	+	L1PA4	202000000	202000043	-	Antisense
chr1	ENSPTRG00000002012	BROX	201980279	202000407	+	L1PA3	201999899	202000000	-	Antisense
chr1	ENSPTRG00000002129	ARID4B	214446862	214606134	-	AluSx	214482366	214482659	-	Sense
chr1	ENSPTRG00000002129	ARID4B	214446862	214606134	-	L1MB7	214523651	214523762	+	Antisense
chr1	ENSPTRG00000002129	ARID4B	214446862	214606134	-	L2b	214482712	214482863	-	Sense
chr1	ENSPTRG00000002129	ARID4B	214446862	214606134	-	AluSz6	214494242	214494293	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	L2b	215066365	215066774	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	L1ME3Cz	215130295	215130357	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	MIRb	215087604	215087808	+	Antisense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	L1ME3G	215129769	215130135	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	Kanga1	215128836	215128938	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	Kanga1	215128935	215129118	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	Kanga1c	215129128	215129307	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	L1ME3G	215129581	215129752	-	Sense
chr1	ENSPTRG00000002134	LYST	214959084	215165993	-	MIR	215087233	215087340	-	Sense
chr1	ENSPTRG00000002137	ERO1B	215524357	215590344	-	L1ME3Cz	215557832	215558446	+	Antisense
chr1	ENSPTRG00000002164	KMO	220885327	220945450	+	MER2	220921691	220921820	-	Antisense
chr1	ENSPTRG00000002164	KMO	220885327	220945450	+	L1MA3	220921847	220922814	-	Antisense
chr1	ENSPTRG00000002164	KMO	220885327	220945450	+	L1M1	220922832	220924684	-	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	AluSx	222527948	222528210	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	Charlie4a	222531614	222532065	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MIRc	222532073	222532251	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	FLAM_A	222532615	222532705	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MIR	222533071	222533221	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MER44A	222518851	222519202	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MER58A	222525847	222526067	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L2a	222532924	222533028	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L1M5	222527521	222527948	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L1M4	222621950	222622566	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L1M5	222528210	222528516	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	Charlie4a	222528575	222528637	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MER58B	222530087	222530394	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L1M5	222637013	222637108	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	AluSz	222637261	222637564	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MER2	222555351	222555686	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	AluSc	222526356	222526660	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	AluSx3	222600579	222600883	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	MLT1L	222586856	222587435	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	AluYk11	222622566	222622604	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	AluJb	222622682	222622997	-	Sense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L2c	222623156	222623336	+	Antisense
chr1	ENSPTRG00000002172	CEP170	222513502	222647986	-	L1MA8	222555915	222556126	-	Sense
chr10	ENSPTRG00000002410	EPC1	32725227	32803391	-	MIRb	32749692	32749869	-	Sense
chr10	ENSPTRG00000002540	JMJD1C	61544133	61845342	-	L2c	61751145	61751406	-	Sense
chr10	ENSPTRG00000002549	HERC4	66362943	66519189	-	L1MB3	66466061	66467238	+	Antisense
chr10	ENSPTRG00000002549	HERC4	66362943	66519189	-	L1MB3	66465356	66465743	+	Antisense
chr10	ENSPTRG00000002549	HERC4	66362943	66519189	-	AluSp	66465743	66466057	+	Antisense
chr10	ENSPTRG00000002560	CCAR1	67176315	67250657	+	AluYc	67212850	67212902	+	Sense
chr10	ENSPTRG00000002619	P4HA1	71589307	71683595	-	Charlie2b	71624309	71624897	-	Sense
chr10	ENSPTRG00000002619	P4HA1	71589307	71683595	-	Charlie2b	71624309	71624897	-	Sense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	L1MEi	72741275	72741513	+	Sense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	HAL1ME	72899237	72899411	-	Antisense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	HAL1ME	72899502	72900224	-	Antisense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	AluSp	72741513	72741802	+	Sense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	AluJb	72898933	72899237	+	Sense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	L1MC5	73187993	73188291	+	Sense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	MER94	73212703	73212818	-	Antisense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	AluJr4	72944854	72944970	-	Antisense
chr10	ENSPTRG00000002649	ADK	72735093	73298250	+	MIR3	73089148	73089343	-	Antisense
chr10	ENSPTRG00000002719	PTEN	87363337	87464208	+	L1ME4c	87373853	87373952	-	Antisense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921976	-	MIRb	93913362	93913518	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921976	-	AluJb	93914415	93914714	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921003	-	MIRb	93913362	93913518	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921976	-	MIRb	93913743	93913902	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921976	-	MIR	93914245	93914415	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921003	-	AluJb	93914415	93914714	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921003	-	MIRb	93913743	93913902	-	Sense
chr10	ENSPTRG00000002776	NOC3L	93891706	93921003	-	MIR	93914245	93914415	-	Sense
chr10	ENSPTRG00000002778	HELLS	94104437	94160942	+	FLAM_C	94154846	94154973	-	Antisense
chr10	ENSPTRG00000002778	HELLS	94104437	94160942	+	L1ME2	94155313	94155674	-	Antisense
chr10	ENSPTRG00000002778	HELLS	94104437	94160942	+	L1ME2	94155022	94155259	-	Antisense
chr10	ENSPTRG00000002797	TM9SF3	95989939	96047511	-	MER58A	96002437	96002613	-	Sense
chr11	ENSPTRG00000003446	GAS2	22508719	22655410	+	MIR	22515706	22515793	-	Antisense
chr11	ENSPTRG00000003446	GAS2	22508719	22655410	+	L1M5	22571430	22571514	+	Sense
chr11	ENSPTRG00000003473	ELP4	31437020	31712139	+	MIRb	31486199	31486319	+	Sense
chr11	ENSPTRG00000003473	ELP4	31437020	31712139	+	L2a	31589121	31589204	+	Sense
chr11	ENSPTRG00000003486	HIPK3	33213058	33312511	+	Tigger15a	33286080	33286186	-	Antisense
chr11	ENSPTRG00000004126	PCF11	81076548	81099575	+	L3b	81097860	81097948	-	Antisense
chr11	ENSPTRG00000004126	PCF11	81076548	81099575	+	MIRc	81097921	81098006	-	Antisense
chr11	ENSPTRG00000004141	PICALM	83879760	83993769	-	AluSq2	83933678	83933803	-	Sense
chr11	ENSPTRG00000004224	DYNC2H1	100954412	101332360	+	AluJb	101066904	101067178	+	Sense
chr11	ENSPTRG00000004224	DYNC2H1	100954412	101332360	+	MER5A1	101027301	101027411	-	Antisense
chr11	ENSPTRG00000004250	ATM	106143674	106230913	+	MIR	106167646	106167774	+	Sense
chr11	ENSPTRG00000004250	ATM	106143674	106230913	+	MIRb	106167775	106167823	-	Antisense
chr11	ENSPTRG00000004250	ATM	106143674	106230913	+	L2b	106167790	106167858	-	Antisense
chr11	ENSPTRG00000004259	RDX	108069364	108171264	-	L1MB7	108130107	108130193	+	Antisense
chr11	ENSPTRG00000004259	RDX	108069364	108171264	-	MIRc	108130676	108130795	-	Sense
chr11	ENSPTRG00000004259	RDX	108069364	108171264	-	L1MD2	108132508	108132784	+	Antisense
chr11	ENSPTRG00000004259	RDX	108069364	108171264	-	FLAM_C	108130838	108130970	+	Antisense
chr12	ENSPTRG00000004708	APOLD1	12994109	13060842	+	L3	12995036	12995197	+	Sense
chr12	ENSPTRG00000004782	INTS13	61568615	61601790	+	L2a	61583331	61583389	+	Sense
chr12	ENSPTRG00000004795	CCDC91	59942673	60237812	-	L1MC4a	60196377	60196784	+	Antisense
chr12	ENSPTRG00000004795	CCDC91	59942673	60237812	-	L1MC4	60196815	60196918	+	Antisense
chr12	ENSPTRG00000004795	CCDC91	59942673	60237812	-	L1ME3F	60197052	60197541	+	Antisense
chr12	ENSPTRG00000004826	C12H12orf40	49723654	49823205	-	L1ME3E	49755417	49756301	+	Antisense
chr12	ENSPTRG00000004826	C12H12orf40	49723654	49823205	-	MLT1J2	49757270	49757467	+	Antisense
chr12	ENSPTRG00000004826	C12H12orf40	49723654	49823205	-	Charlie18a	49819458	49819529	-	Sense
chr12	ENSPTRG00000004826	C12H12orf40	49723654	49823205	-	HAL1b	49756720	49756837	+	Antisense
chr12	ENSPTRG00000004826	C12H12orf40	49723654	49823205	-	L1MD	49756841	49757268	-	Sense
chr12	ENSPTRG00000004826	C12H12orf40	49764340	49823205	-	MIR	49820388	49820618	+	Antisense
chr12	ENSPTRG00000004826	C12H12orf40	49723654	49823205	-	MIR	49820388	49820618	+	Antisense
chr12	ENSPTRG00000004826	C12H12orf40	49764340	49823205	-	Charlie18a	49819458	49819529	-	Sense
chr12	ENSPTRG00000004834	CNTN1	48370780	48533907	-	MIRb	48512106	48512302	-	Sense
chr12	ENSPTRG00000004840	PRICKLE1	46840855	46974671	+	AluSx	46962097	46962384	-	Antisense
chr12	ENSPTRG00000004853	ARID2	43485036	43669755	-	L1MA8	43605718	43605848	+	Antisense
chr12	ENSPTRG00000004853	ARID2	43485036	43669755	-	MIRb	43606017	43606095	+	Antisense
chr12	ENSPTRG00000004853	ARID2	43485036	43669755	-	AluSx	43664651	43664958	-	Sense
chr12	ENSPTRG00000004853	ARID2	43485036	43669755	-	L1MA3	43665017	43665087	-	Sense
chr12	ENSPTRG00000004853	ARID2	43485036	43669755	-	L1M5	43585943	43586202	+	Antisense
chr12	ENSPTRG00000004853	ARID2	43485036	43669755	-	L1MC5	43586242	43586443	-	Sense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	MER58A	26970313	26970513	+	Antisense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	L1M5	26970515	26970664	-	Sense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	AluJb	26950031	26950321	-	Sense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	L1M5	26969662	26970123	-	Sense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	AluSz	27034469	27034742	+	Antisense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	L1MD	26970692	26970817	-	Sense
chr12	ENSPTRG00000005163	USP15	26891965	27038338	-	L2	27022753	27023051	+	Antisense
chr12	ENSPTRG00000005238	KRR1	75389475	75403643	-	MIR	75391048	75391105	+	Antisense
chr12	ENSPTRG00000005243	ZDHHC17	76687889	76778038	+	HAL1b	76762290	76763198	-	Antisense
chr12	ENSPTRG00000005243	ZDHHC17	76687889	76778038	+	HAL1	76737900	76738524	+	Sense
chr12	ENSPTRG00000005243	ZDHHC17	76687889	76778038	+	FLAM_A	76762171	76762290	-	Antisense
chr12	ENSPTRG00000005278	CEP290	88199729	88292316	-	L1M4	88277443	88277925	+	Antisense
chr12	ENSPTRG00000005295	EEA1	92963968	93120421	-	MIRb	92964924	92965012	-	Sense
chr12	ENSPTRG00000005302	CEP83	94529952	94682725	-	MIR3	94554458	94554591	-	Sense
chr12	ENSPTRG00000005302	CEP83	94529952	94682725	-	L1MC4a	94587992	94589781	+	Antisense
chr12	ENSPTRG00000005383	WASHC4	105441549	105502600	+	Tigger2b_Pri	105459022	105459239	+	Sense
chr12	ENSPTRG00000005383	WASHC4	105441549	105502600	+	Tigger2b_Pri	105459208	105459384	+	Sense
chr12	ENSPTRG00000005383	WASHC4	105441549	105502600	+	L2c	105479062	105479243	-	Antisense
chr12	ENSPTRG00000005383	WASHC4	105441549	105502600	+	MIRb	105479361	105479581	+	Sense
chr13	ENSPTRG00000005680	ZMYM2	19479513	19613221	+	AluJr	19526909	19527208	+	Sense
chr13	ENSPTRG00000005680	ZMYM2	19479513	19613221	+	L1MD	19529754	19529909	+	Sense
chr13	ENSPTRG00000005680	ZMYM2	19479513	19613221	+	L1MD	19530203	19530339	+	Sense
chr13	ENSPTRG00000005680	ZMYM2	19479513	19613221	+	MIRb	19570819	19570971	+	Sense
chr13	ENSPTRG00000005680	ZMYM2	19479513	19613221	+	L1MB4	19530362	19531143	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MB4	34675597	34675904	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME3G	34748778	34748943	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MB7	34748935	34749750	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1M5	34750773	34751302	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L2a	34755615	34755836	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	MER33	34756474	34756764	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L2	34756855	34756949	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L2a	34751302	34752033	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MD2	34673751	34675599	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	MER58A	34761538	34761743	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	Tigger7	34746790	34747044	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	AluY	34747309	34747603	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1M4	34748218	34748309	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	AluY	34767440	34767747	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	MADE2	34767765	34767840	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	Plat_L3	34768479	34768683	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	FLAM_C	34770882	34771017	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1PA4	34776869	34777119	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34777148	34777279	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34777310	34777747	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MC1	34778001	34778147	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34778352	34778462	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34778604	34779072	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34779086	34779578	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1M4	34779588	34779889	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34779900	34780047	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	AluSx	34780076	34780362	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME1	34780362	34780691	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MB8	34781000	34781109	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME3B	34781106	34782086	+	Sense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	MER112	35063035	35063074	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MC4	34761485	34761527	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MC4	34761753	34762250	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1MC4	34760454	34761415	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L2	34766653	34766976	-	Antisense
chr13	ENSPTRG00000005775	NBEA	34589526	35301519	+	L1ME3B	34764126	34764262	+	Sense
chr13_GL392075_random	ENSPTRG00000005805	COG6	699213	796314	+	MIRb	733347	733576	+	Sense
chr13_GL392075_random	ENSPTRG00000005805	COG6	699213	796314	+	L1MEc	783353	783836	+	Sense
chr13_GL392075_random	ENSPTRG00000005811	ELF1	1986835	2071800	-	L2a	2054028	2054116	-	Sense
chr13_GL392075_random	ENSPTRG00000005811	ELF1	1986835	2071800	-	FAM	2054171	2054332	+	Antisense
chr13_GL392075_random	ENSPTRG00000005811	ELF1	1986835	2071800	-	AluJr	2054808	2055047	+	Antisense
chr13_GL392075_random	ENSPTRG00000005811	ELF1	1986835	2071800	-	L1MB8	2025534	2025952	+	Antisense
chr13_GL392075_random	ENSPTRG00000005811	ELF1	1986835	2071800	-	L1M2	2053867	2054028	+	Antisense
chr13_GL392075_random	ENSPTRG00000005823	DGKH	3092398	3276768	+	L1MEc	3132536	3134815	+	Sense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	L1ME1	48046640	48047358	-	Antisense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	Tigger15a	48047370	48047473	+	Sense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	Tigger15a	48046377	48046513	+	Sense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	MIR3	48115905	48116035	+	Sense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	Tigger16b	48116641	48116758	-	Antisense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	MIRb	48047721	48047884	-	Antisense
chr13	ENSPTRG00000005864	RB1	48008533	48183844	+	FLAM_A	48115766	48115903	+	Sense
chr13	ENSPTRG00000005873	SETDB2	49165107	49205727	+	MIRb	49174415	49174603	+	Sense
chr13	ENSPTRG00000005927	PIBF1	72656211	72894826	+	MER5B	72877169	72877293	+	Sense
chr13	ENSPTRG00000005927	PIBF1	72656211	72894826	+	AluJb	72876983	72877169	+	Sense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	MIR3	76993136	76993266	-	Sense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	MIR3	76992991	76993049	-	Sense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	Tigger1	77194543	77194840	-	Sense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	L2a	77193957	77193991	-	Sense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	L1M5	76992440	76992637	+	Antisense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	L1MEg	77239188	77239648	+	Antisense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	L1ME1	77004557	77006766	+	Antisense
chr13	ENSPTRG00000005943	MYCBP2	76976915	77260458	-	L1MB7	77238709	77239107	+	Antisense
chr13	ENSPTRG00000005949	RBM26	79318354	79409152	-	Tigger16b	79360278	79360362	+	Antisense
chr13	ENSPTRG00000005949	RBM26	79318354	79409152	-	Tigger7	79360901	79361209	+	Antisense
chr13	ENSPTRG00000005949	RBM26	79318354	79409152	-	Charlie1	79386869	79387175	-	Sense
chr13	ENSPTRG00000005949	RBM26	79318354	79409152	-	Tigger3b	79322680	79323897	+	Antisense
chr13	ENSPTRG00000005949	RBM26	79318354	79409152	-	L1M5	79322575	79322680	-	Sense
chr13	ENSPTRG00000005950	NDFIP2	79485313	79563837	+	L1MD	79550174	79550405	-	Antisense
chr13	ENSPTRG00000005977	UGGT2	96000042	96255616	-	L1M5	96213620	96213944	+	Antisense
chr13	ENSPTRG00000005977	UGGT2	96000042	96255616	-	L1ME3F	96143920	96145996	-	Sense
chr13	ENSPTRG00000005994	UBAC2	99441358	99625112	+	MER5B	99480226	99480282	+	Sense
chr14	ENSPTRG00000006235	SCFD1	29498098	29605845	+	MIR	29516741	29516945	-	Antisense
