chr_name	ensembl_id	gene_symbol	gene_start	gene_end	gene_strand	te_name	te_start	te_end	te_strand	strand_relation
chr1	ENSPPYG00000000487	RABGAP1L	75963360	76806839	-	Charlie21a	76673501	76673808	-	Sense
chr1	ENSPPYG00000000487	RABGAP1L	75963360	76806839	-	Charlie21a	76673821	76674002	-	Sense
chr1	ENSPPYG00000000545	DCAF6	83123735	83263888	-	L1ME4a	83160751	83161377	+	Antisense
chr1	ENSPPYG00000000545	DCAF6	83123735	83263888	-	MER5A	83161457	83161608	+	Antisense
chr1	ENSPPYG00000000943	PRKAB2	106402406	106420320	-	MIRc	106408044	106408239	+	Antisense
chr1	ENSPPYG00000000943	PRKAB2	106402406	106420320	-	MER5A	106408315	106408437	+	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	MIR	107805300	107805506	+	Sense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	L1ME4a	107806098	107806259	-	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	MER5B	107806622	107806757	-	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	MLT1A0	107807550	107807902	-	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	MIRb	107809165	107809387	+	Sense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	L2c	107819271	107819372	+	Sense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	L2a	107819505	107819628	-	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	MIR	107820406	107820650	-	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	L2a	107823819	107823976	-	Antisense
chr1	ENSPPYG00000000957	SEC22B	107801300	107824637	+	Charlie4z	107824106	107824253	-	Antisense
chr1	ENSPPYG00000001001	TRIM33	113705923	113841807	+	FLAM_C	113800508	113800632	+	Sense
chr1	ENSPPYG00000001040	CEPT1	117087809	117128738	-	L1MA9	117115802	117115989	-	Sense
chr1	ENSPPYG00000001103	COL11A1	125405978	125643678	+	MIR	125435508	125435634	-	Antisense
chr1	ENSPPYG00000001103	COL11A1	125405978	125643678	+	L1M2	125435634	125435760	-	Antisense
chr1	ENSPPYG00000001103	COL11A1	125405978	125643678	+	L1ME2	125448483	125452992	-	Antisense
chr1	ENSPPYG00000001124	AGL	128602478	128672826	-	AluJo	128608366	128608573	-	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	MIRc	130769070	130769271	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L3	130769637	130769814	-	Antisense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	MIR	130775535	130775711	-	Antisense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L2c	130775855	130775978	-	Antisense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L2a	130885536	130885786	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	LTR16A	130915056	130915126	-	Antisense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L1MB8	130919063	130919279	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	MIRb	130926947	130927084	-	Antisense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L2a	130927354	130927425	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L3b	130988936	130988998	-	Antisense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	MIR3	131044907	131045112	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	MIR	131045227	131045328	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	LTR33	131045561	131045680	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L1MA9	131450399	131450993	+	Sense
chr1	ENSPPYG00000001131	DPYD	130727373	131612909	+	L2c	131493690	131493972	+	Sense
chr1	ENSPPYG00000001140	ABCD3	134262769	134359899	-	L1MB8	134303152	134303277	-	Sense
chr1	ENSPPYG00000001140	ABCD3	134262769	134359899	-	MER103	134303414	134303542	+	Antisense
chr1	ENSPPYG00000001140	ABCD3	134262763	134360191	-	MER103	134303414	134303542	+	Antisense
chr1	ENSPPYG00000001140	ABCD3	134262763	134360191	-	L1MB8	134303152	134303277	-	Sense
chr1	ENSPPYG00000001163	HFM1	137430002	137571147	+	MER5A	137437833	137437908	+	Sense
chr1	ENSPPYG00000001163	HFM1	137430002	137571147	+	L2	137437921	137438363	-	Antisense
chr1	ENSPPYG00000001163	HFM1	137430002	137571147	+	FLAM_A	137436074	137436183	+	Sense
chr1	ENSPPYG00000001189	ODF2L	142554758	142603774	+	L1MB8	142566735	142566899	-	Antisense
chr1	ENSPPYG00000001209	PRKACB	144791221	144860096	-	L1MA4A	144800316	144802856	+	Antisense
chr1	ENSPPYG00000001237	FPGT	154620360	154970083	-	L1PA15-16	154854949	154857294	-	Sense
chr1	ENSPPYG00000001237	FPGT	154620360	154970083	-	MER2	154789169	154789500	+	Antisense
chr1	ENSPPYG00000001247	LRRC7	159241115	159601464	-	L2a	159242990	159243083	-	Sense
chr1	ENSPPYG00000001247	LRRC7	159241115	159601464	-	L2c	159458608	159459125	+	Antisense
chr1	ENSPPYG00000001247	LRRC7	159241115	159601464	-	Tigger4a	159459232	159459386	+	Antisense
chr1	ENSPPYG00000001247	LRRC7	159241115	159601464	-	MIRc	159344229	159344437	+	Antisense
chr1	ENSPPYG00000001247	LRRC7	159241115	159601464	-	MIRb	159344756	159344908	-	Sense
chr1	ENSPPYG00000001272	CACHD1	164678866	164903977	-	MIR3	164698213	164698328	+	Antisense
chr1	ENSPPYG00000001279	ATG4C	166562040	166649769	-	L2c	166610405	166610564	-	Sense
chr1	ENSPPYG00000001279	ATG4C	166562040	166649769	-	MER58C	166611355	166611543	+	Antisense
chr1	ENSPPYG00000001279	ATG4C	166562040	166649769	-	MIRm	166563877	166563981	+	Antisense
chr1	ENSPPYG00000001280	DOCK7	166752874	166992897	+	MIRb	166897874	166897931	-	Antisense
chr1	ENSPPYG00000001280	DOCK7	166752874	166992897	+	AluSg/x	166969216	166969282	+	Sense
chr1	ENSPPYG00000001280	DOCK7	166752874	166992897	+	HAL1	166825117	166825535	-	Antisense
chr1	ENSPPYG00000001280	DOCK7	166752874	166992897	+	MIRc	166825557	166825742	-	Antisense
chr1	ENSPPYG00000001347	TUT4	177191785	177324617	+	L1ME4a	177258959	177259684	+	Sense
chr1	ENSPPYG00000001347	TUT4	177191785	177324617	+	L2a	177259685	177260036	-	Antisense
chr10	ENSPPYG00000002126	STAM	18425257	18499579	+	L1ME3B	18476630	18477624	-	Antisense
chr10	ENSPPYG00000002197	PARD3	35245756	35987714	-	MIRb	35762069	35762256	+	Antisense
chr10	ENSPPYG00000002197	PARD3	35245756	35987714	-	MIRb	35762271	35762318	-	Sense
chr10	ENSPPYG00000002197	PARD3	35245756	35987714	-	AluY	35761459	35761668	-	Sense
chr10	ENSPPYG00000002259	PARG	47331620	47463547	-	MER21A	47452038	47452126	+	Antisense
chr10	ENSPPYG00000002259	PARG	47331620	47463547	-	LTR8	47452173	47452626	+	Antisense
chr10	ENSPPYG00000002259	PARG	47331620	47463547	-	AluSp	47376246	47376549	+	Antisense
chr10	ENSPPYG00000002259	PARG	47331620	47463547	-	L1MB7	47451819	47451945	+	Antisense
chr10	ENSPPYG00000002471	KIF20B	88417321	88491286	+	AluSc	88426191	88426478	+	Sense
chr10	ENSPPYG00000002495	FRA10AC1	92430850	92466561	-	AluSg	92438614	92438912	+	Antisense
chr10	ENSPPYG00000002500	NOC3L	93134137	93163134	-	MIRb	93146040	93146160	-	Sense
chr10	ENSPPYG00000002506	ACSM6	94098128	94119599	+	L1MC5	94109946	94110609	-	Antisense
chr10	ENSPPYG00000002675	FHIP2A	114254916	114288079	+	MIR3	114258038	114258222	+	Sense
chr11	ENSPPYG00000003377	DEPDC7	36300801	36318984	-	MER46C	36307035	36307337	+	Antisense
chr11	ENSPPYG00000003400	KIF18A	41465946	41552729	+	Tigger12c	41546924	41547081	+	Sense
chr11	ENSPPYG00000003744	PICALM	81750100	81865535	-	L1MB7	81815301	81816157	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	L1MEc	85184091	85184372	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	MIRb	85196484	85196599	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	MIR	85197406	85197490	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	L1MEc	85184395	85184849	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	Charlie2b	85187906	85188528	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	MIR	85266397	85266584	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	MIR	85266609	85266647	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	MIR	85271518	85271738	+	Antisense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	AluJo	85250840	85251132	-	Sense
chr11	ENSPPYG00000003756	NOX4	85182370	85348941	-	L2a	85259555	85259669	+	Antisense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	AluSq	85509208	85509520	-	Antisense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	Charlie2a	85522601	85522735	+	Sense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	MER58B	85503205	85503496	-	Antisense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	MIRc	85503508	85503708	+	Sense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	L2b	85532348	85532642	+	Sense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	MIRc	85538238	85538288	+	Sense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	LTR16A	85522746	85523158	-	Antisense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	L1M4	85531682	85532295	-	Antisense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	MIRb	85539668	85539899	-	Antisense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	L1MC	85539587	85539646	+	Sense
chr11	ENSPPYG00000003757	FOLH1	85500361	85570181	+	MIRb	85538386	85538434	+	Sense
chr11	ENSPPYG00000003795	CCDC82	92388633	92419974	-	L2c	92389050	92389296	-	Sense
chr11	ENSPPYG00000003816	DCUN1D5	99383077	99416487	-	L2c	99413429	99413505	+	Antisense
chr11	ENSPPYG00000003816	DCUN1D5	99383077	99416487	-	L2c	99412799	99413031	+	Antisense
chr11	ENSPPYG00000003819	DYNC2H1	99512915	99816651	+	L1M5	99570957	99571180	-	Antisense
chr11	ENSPPYG00000003819	DYNC2H1	99512915	99816651	+	MIR3	99814531	99814651	+	Sense
chr11	ENSPPYG00000003819	DYNC2H1	99512915	99816651	+	L1MB2	99627889	99628826	-	Antisense
chr11	ENSPPYG00000003819	DYNC2H1	99512915	99816651	+	MIRb	99814278	99814417	-	Antisense
chr11	ENSPPYG00000003845	ATM	104843831	104985159	+	MADE2	104955537	104955618	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	MER4-int	21614917	21615526	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	L1MCa	21625846	21627041	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	MER4-int	21610861	21613463	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	MER4-int	21613774	21614918	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	MIRb	21697864	21697920	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	L1MCa	21625846	21627041	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	MER4-int	21610861	21613463	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	MER4-int	21613774	21614918	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	MER4-int	21614917	21615526	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	Tigger3a	21627370	21627702	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	L1MCa	21627702	21629288	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21600867	21723826	+	MIRb	21697864	21697920	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	Tigger3a	21627370	21627702	-	Antisense
chr12	ENSPPYG00000004348	SLCO1B3	21605950	21919169	+	L1MCa	21627702	21629288	-	Antisense
chr12	ENSPPYG00000004353	GOLT1B	22372414	22393789	+	L2a	22376712	22376795	+	Sense
chr12	ENSPPYG00000004376	TM7SF3	28017305	28078678	-	L2	28017588	28017846	+	Antisense
chr12	ENSPPYG00000004390	ERGIC2	30452789	30484451	-	Cheshire	30462198	30464353	-	Sense
chr12	ENSPPYG00000004391	OVCH1	30531785	30609134	-	L2a	30554186	30554476	+	Antisense
chr12	ENSPPYG00000004391	OVCH1	30531785	30609134	-	MIRb	30553697	30553865	-	Sense
chr12	ENSPPYG00000004779	TRHDE	72650719	73039661	+	AluSg	72892279	72892544	-	Antisense
chr12	ENSPPYG00000004781	CAPS2	75722167	75767127	-	MLT1D	75763947	75764445	+	Antisense
chr12	ENSPPYG00000004808	LRRIQ1	85626334	85847413	+	L1MEc	85841178	85842360	+	Sense
chr12	ENSPPYG00000004814	CEP290	88864565	88959169	-	AluSx	88933852	88934139	+	Antisense
chr12	ENSPPYG00000004815	TMTC3	88965410	89015825	+	L2a	89004259	89004526	-	Antisense
chr12	ENSPPYG00000004815	TMTC3	88965410	89015825	+	L1MC4a	88971170	88971294	+	Sense
chr12	ENSPPYG00000004815	TMTC3	88965410	89015825	+	MIRm	89012549	89012659	-	Antisense
chr12	ENSPPYG00000004815	TMTC3	88965410	89015825	+	L1MA5A	89005167	89005231	-	Antisense
chr12	ENSPPYG00000004815	TMTC3	88965410	89015825	+	MER5B	89005289	89005461	-	Antisense
chr12	ENSPPYG00000004875	CHPT1	103080056	103113027	+	MIRc	103110076	103110262	+	Sense
chr12	ENSPPYG00000004876	SYCP3	103113008	103124170	-	L2a	103113735	103113841	-	Sense
chr13	ENSPPYG00000005201	ZDHHC20	20500737	20588580	-	FLAM_A	20520438	20520568	+	Antisense
chr13	ENSPPYG00000005201	ZDHHC20	20500737	20588580	-	FLAM_A	20519823	20519937	-	Sense
chr13	ENSPPYG00000005264	BRCA2	31850769	31940736	+	L1MC4a	31881204	31881718	-	Antisense
chr13	ENSPPYG00000005264	BRCA2	31850769	31940736	+	MIRb	31882307	31882488	-	Antisense
chr13	ENSPPYG00000005269	PDS5B	32127842	32317646	+	L1MEg	32273943	32275776	-	Antisense
chr13	ENSPPYG00000005269	PDS5B	32127842	32317646	+	L1ME3B	32250597	32250847	-	Antisense
chr13	ENSPPYG00000005269	PDS5B	32127842	32317646	+	L1M5	32250017	32250424	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MIR	34722389	34722627	+	Sense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MLT1L	34846235	34846496	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	L1MC4	34793771	34794757	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MIRb	35189603	35189723	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	L1M2	35064729	35065674	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	AluSx	35087240	35087546	+	Sense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MER33	34788994	34789285	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MIRc	34793615	34793728	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	AluJo	34846976	34847239	+	Sense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MER58B	34850730	34850866	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MER112	35132235	35132272	-	Antisense
chr13	ENSPPYG00000005273	NBEA	34619851	35385859	+	MIRc	35189467	35189567	-	Antisense
chr13	ENSPPYG00000005357	RB1	48460227	48656682	+	MIR3	48532817	48532900	-	Antisense
chr13	ENSPPYG00000005357	RB1	48460227	48656682	+	Tigger2b_Pri	48533178	48533417	+	Sense
chr13	ENSPPYG00000005357	RB1	48460227	48656682	+	Tigger2b_Pri	48533836	48533906	+	Sense
chr13	ENSPPYG00000005357	RB1	48460227	48656682	+	HAL1b	48518133	48518249	-	Antisense
chr13	ENSPPYG00000005357	RB1	48460227	48656682	+	Tigger2b_Pri	48533413	48533665	+	Sense
chr13	ENSPPYG00000005357	RB1	48460227	48656682	+	FAM	48533674	48533836	+	Sense
chr13	ENSPPYG00000005409	DACH1	72686340	73120341	-	L3	72850943	72850979	+	Antisense
chr13	ENSPPYG00000005409	DACH1	72686340	73120341	-	MIR	73116261	73116349	+	Antisense
chr13	ENSPPYG00000005409	DACH1	72686340	73120341	-	MER5B	72851077	72851225	-	Sense
chr13	ENSPPYG00000005409	DACH1	72686340	73120341	-	L2	73114309	73114370	+	Antisense
chr13	ENSPPYG00000005452	UGGT2	98128366	98357608	-	L1PA8	98190457	98190521	-	Sense
chr14	ENSPPYG00000005722	STRN3	30510713	30645695	-	Charlie17a	30521781	30521992	-	Sense
chr14	ENSPPYG00000005722	STRN3	30510713	30645695	-	L1ME4a	30522446	30522596	+	Antisense
chr14	ENSPPYG00000005746	RALGAPA1	35290307	35575422	-	L1MA9	35415410	35416498	+	Antisense
chr14	ENSPPYG00000005746	RALGAPA1	35290307	35575422	-	L2a	35456465	35456566	+	Antisense
chr14	ENSPPYG00000005746	RALGAPA1	35290307	35575422	-	L2a	35415155	35415193	-	Sense
chr14	ENSPPYG00000005746	RALGAPA1	35290307	35575422	-	L1ME2	35461719	35461990	+	Antisense
chr14	ENSPPYG00000005768	MIA2	39110294	39231769	+	L1ME4a	39186133	39186334	+	Sense
chr14	ENSPPYG00000005768	MIA2	39110294	39231769	+	MER58A	39174492	39174694	+	Sense
chr14	ENSPPYG00000005799	SOS2	50552070	50667294	-	L1MC5	50592638	50592903	+	Antisense
chr14	ENSPPYG00000005822	GNPNAT1	53256325	53270631	-	MIRm	53261243	53261282	-	Sense
chr14	ENSPPYG00000005822	GNPNAT1	53256325	53270631	-	MIR3	53261638	53261818	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	AluJo	53598185	53598497	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	L2	53598497	53598656	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	Tigger1	53574843	53575053	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	L2c	53575682	53575914	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	MIR	53577255	53577460	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	L2c	53576848	53576921	+	Antisense
chr14	ENSPPYG00000005825	DDHD1	53548721	53666945	-	MIRm	53577136	53577182	+	Antisense
chr14	ENSPPYG00000005860	KIAA0586	59052394	59180136	+	AluSx	59095445	59095741	-	Antisense
chr14	ENSPPYG00000005895	SYNE2	64797189	65121774	+	MIR	64920213	64920394	+	Sense
chr14	ENSPPYG00000005895	SYNE2	64797189	65121774	+	L2c	64875727	64875790	+	Sense
chr14	ENSPPYG00000005895	SYNE2	64797189	65121774	+	AluSx	64876239	64876526	+	Sense
chr14	ENSPPYG00000005917	GPHN	67463033	68136956	+	MIR	67785576	67785773	+	Sense
chr14	ENSPPYG00000006080	GOLGA5	94119885	94164645	+	AluJo	94148465	94148772	-	Antisense
chr14	ENSPPYG00000006080	GOLGA5	94119885	94164645	+	L1M5	94148772	94149134	-	Antisense
chr14	ENSPPYG00000006080	GOLGA5	94119885	94164645	+	L1M5	94148019	94148465	-	Antisense
chr14	ENSPPYG00000006080	GOLGA5	94119885	94164645	+	L2a	94149503	94149572	-	Antisense
chr14	ENSPPYG00000006125	ATG2B	97695223	97776463	-	MER58A	97759196	97759410	-	Sense
chr14	ENSPPYG00000006125	ATG2B	97695223	97776463	-	L2a	97759128	97759196	-	Sense
chr15	ENSPPYG00000006299	ENSPPYG00000006299	28515308	28540863	+	AluJo	28515985	28516270	+	Sense
chr15	ENSPPYG00000006299	ENSPPYG00000006299	28515308	28540863	+	AluJb	28515403	28515626	+	Sense
chr15	ENSPPYG00000006334	SPRED1	34564499	34664646	+	MER5B	34635601	34635721	+	Sense
chr15	ENSPPYG00000006334	SPRED1	34564499	34664646	+	MER5B	34635791	34635929	-	Antisense
chr15	ENSPPYG00000006356	KNL1	36978916	37048149	+	L2c	37036029	37036121	+	Sense
chr15	ENSPPYG00000006356	KNL1	36978916	37048149	+	L2c	37035772	37035995	+	Sense
chr15	ENSPPYG00000006356	KNL1	36978916	37048149	+	FRAM	37035564	37035707	-	Antisense
chr15	ENSPPYG00000006392	TMEM87A	38696183	38760819	-	L1MA8	38704290	38705267	-	Sense
chr15	ENSPPYG00000006452	MYEF2	44652696	44693180	-	L1ME3B	44671054	44671232	+	Antisense
chr15	ENSPPYG00000006452	MYEF2	44652696	44693180	-	L1ME4a	44670415	44670949	+	Antisense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	MIRb	45990093	45990288	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	AluJo	45741064	45741311	+	Sense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	MIR3	46016646	46016755	+	Sense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	MIR	46015856	46016078	+	Sense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	MER57A1	45734431	45734859	+	Sense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	LTR54	45734859	45735344	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	L1MC4	45735361	45736139	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	L1MC4	45736137	45736333	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45956011	46019585	+	MADE1	46014400	46014479	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45956011	46019585	+	L2a	46014672	46014730	+	Sense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	MADE1	46014400	46014479	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	L2a	46014672	46014730	+	Sense
chr15	ENSPPYG00000006463	GALK2	45956011	46019585	+	L2b	46017005	46017085	+	Sense
chr15	ENSPPYG00000006463	GALK2	45699546	46019585	+	L2b	46017005	46017085	+	Sense
chr15	ENSPPYG00000006463	GALK2	45956011	46019585	+	MIRb	45990093	45990288	-	Antisense
chr15	ENSPPYG00000006463	GALK2	45956011	46019585	+	MIR	46015856	46016078	+	Sense
chr15	ENSPPYG00000006463	GALK2	45956011	46019585	+	MIR3	46016646	46016755	+	Sense
chr15	ENSPPYG00000006478	LYSMD2	48350347	48364091	-	L4	48351223	48351658	-	Sense
chr15	ENSPPYG00000006488	ATOSA	49242528	49295178	-	FRAM	49262201	49262359	-	Sense
chr15	ENSPPYG00000006515	SLTM	55783957	55839435	-	MIRc	55797347	55797587	+	Antisense
chr15	ENSPPYG00000006572	DENND4A	62773243	62912287	-	MER5C1	62782253	62782485	+	Antisense
chr15	ENSPPYG00000006672	NRG4	73453180	73523811	-	L2c	73473438	73473554	+	Antisense
chr16	ENSPPYG00000007137	ENSPPYG00000007137	16329087	16381767	+	Charlie8	16329465	16329590	+	Sense
chr16	ENSPPYG00000007137	ENSPPYG00000007137	16329087	16381767	+	MIR	16329590	16329755	+	Sense
chr16	ENSPPYG00000007141	SMG1	18329568	18376854	-	L1ME2	18373660	18374182	+	Antisense
chr16	ENSPPYG00000007141	SMG1	18329568	18376854	-	AluSg	18375995	18376290	+	Antisense
chr16	ENSPPYG00000007141	SMG1	18329568	18376854	-	L1ME2	18373472	18373647	+	Antisense
chr16	ENSPPYG00000007183	OTOA	21630482	21677698	+	MLT1D	21662510	21662997	+	Sense
chr16	ENSPPYG00000007183	OTOA	21630482	21677698	+	L1MEc	21661242	21662154	-	Antisense
chr16	ENSPPYG00000007183	OTOA	21630482	21677698	+	MLT1K	21662239	21662510	-	Antisense
chr16	ENSPPYG00000007183	OTOA	21630482	21677698	+	MLT1A0	21660658	21661021	-	Antisense
chr16	ENSPPYG00000007183	OTOA	21630482	21677698	+	L1MA8	21660101	21660334	-	Antisense
