chr	start	end	peak_id	score	strand	signal_value	p_value	q_value	length	peak_center	peak_strength	signal_category
chr1	63226072	63226499	macs3_results/Chimp_Judith_peak_180	40	.	2.0163	4.02104	1.5438	696	63226420	Weak	Low
chr1	63225125	63226018	macs3_results/Chimp_Judith_peak_180	40	.	2.0163	4.02104	1.5438	696	63225473	Weak	Low
chr1	63369685	63370251	macs3_results/Chimp_Judith_peak_183	43	.	2.08135	4.37826	1.77013	754	63370062	Weak	Low
chr1	63419506	63420576	macs3_results/Chimp_Judith_peak_184	65	.	2.51938	6.56259	3.18523	549	63419780.5	Weak	Low
chr1	63449566	63450282	macs3_results/Chimp_Judith_peak_186	74	.	2.7439	7.49199	3.86885	544	63449838	Weak	Low
chr1	64038569	64039106	macs3_results/Chimp_Judith_peak_191	63	.	2.50408	6.35618	3.08334	1227	64039182.5	Weak	Low
chr1	64041153	64042417	macs3_results/Chimp_Judith_peak_192	47	.	2.25521	4.73632	2.01619	481	64041393.5	Weak	Low
chr1	64121968	64123038	macs3_results/Chimp_Judith_peak_193	40	.	2.11672	4.01628	1.54274	563	64122249.5	Weak	Low
chr1	66110426	66111142	macs3_results/Chimp_Judith_peak_200	60	.	2.50871	6.0901	2.85411	477	66110664.5	Weak	Low
chr1	66418083	66418366	macs3_results/Chimp_Judith_peak_206	44	.	2.19512	4.40297	1.77013	209	66418187.5	Weak	Low
chr1	66745478	66745824	macs3_results/Chimp_Judith_peak_212	36	.	2.03833	3.64447	1.3244	545	66745750.5	Weak	Low
chr1	66967018	66967948	macs3_results/Chimp_Judith_peak_213	54	.	2.09984	5.44318	2.47188	499	66967267.5	Weak	Low
chr1	67300974	67301741	macs3_results/Chimp_Judith_peak_218	52	.	2.35191	5.21929	2.27892	822	67301385	Weak	Low
chr1	67357614	67358400	macs3_results/Chimp_Judith_peak_220	48	.	2.27352	4.80412	2.01619	542	67357885	Weak	Low
chr1	67602923	67605043	macs3_results/Chimp_Judith_peak_226a	32	.	1.87599	3.23164	1.1188	490	67603168	Weak	Low
chr1	67602923	67605043	macs3_results/Chimp_Judith_peak_226a	32	.	1.87599	3.23164	1.1188	490	67603168	Weak	Low
chr1	67602923	67605043	macs3_results/Chimp_Judith_peak_226b	21	.	1.59773	2.11496	0.513148	1056	67603451	Weak	Low
chr1	67602923	67605043	macs3_results/Chimp_Judith_peak_226b	21	.	1.59773	2.11496	0.513148	1056	67603451	Weak	Low
chr1	67602923	67605043	macs3_results/Chimp_Judith_peak_226c	36	.	1.98977	3.65195	1.33087	1615	67603730.5	Weak	Low
chr1	67602923	67605043	macs3_results/Chimp_Judith_peak_226c	36	.	1.98977	3.65195	1.33087	1615	67603730.5	Weak	Low
chr1	67724935	67726009	macs3_results/Chimp_Judith_peak_229	45	.	2.18777	4.59433	1.9327	677	67725273.5	Weak	Low
chr1	67788046	67788917	macs3_results/Chimp_Judith_peak_230	33	.	1.94353	3.39859	1.21376	545	67788318.5	Weak	Low
chr1	67870003	67871177	macs3_results/Chimp_Judith_peak_231	56	.	2.3526	5.60092	2.55795	492	67870249	Weak	Low
chr1	69107474	69107837	macs3_results/Chimp_Judith_peak_236	84	.	2.90069	8.48647	4.67208	838	69107893	Weak	Low
chr1	70484044	70484692	macs3_results/Chimp_Judith_peak_251	36	.	2.03833	3.64447	1.3244	1150	70484619	Weak	Low
chr1	70814015	70814417	macs3_results/Chimp_Judith_peak_254	54	.	2.34129	5.42958	2.45898	535	70814282.5	Weak	Low
chr1	70822116	70822936	macs3_results/Chimp_Judith_peak_255	65	.	2.58433	6.534	3.17003	783	70822507.5	Weak	Low
chr1	70945917	70947554	macs3_results/Chimp_Judith_peak_259	29	.	1.88153	2.94746	0.929844	1322	70946578	Weak	Low
chr1	70945917	70947554	macs3_results/Chimp_Judith_peak_259	29	.	1.88153	2.94746	0.929844	1322	70946578	Weak	Low
chr1	70958584	70959161	macs3_results/Chimp_Judith_peak_260	36	.	2.03833	3.64447	1.3244	755	70958961.5	Weak	Low
chr1	71696191	71697098	macs3_results/Chimp_Judith_peak_265a	26	.	1.80313	2.62325	0.751142	660	71696521	Weak	Low
chr1	71696191	71697098	macs3_results/Chimp_Judith_peak_265b	44	.	2.19512	4.40297	1.77013	2133	71697257.5	Weak	Low
chr1	71696191	71697098	macs3_results/Chimp_Judith_peak_265c	48	.	2.27352	4.80412	2.01619	3172	71697777	Weak	Low
chr1	71696191	71697098	macs3_results/Chimp_Judith_peak_265d	32	.	1.95993	3.28804	1.1188	4387	71698384.5	Weak	Low
chr1	72330546	72331484	macs3_results/Chimp_Judith_peak_272	40	.	2.11672	4.01628	1.54274	531	72330811.5	Weak	Low
chr1	72878747	72879976	macs3_results/Chimp_Judith_peak_276	44	.	2.19512	4.40297	1.77013	672	72879083	Weak	Low
chr1	73200013	73200563	macs3_results/Chimp_Judith_peak_284	100	.	3.13589	10.0621	6.05685	759	73200392.5	Weak	Low
chr1	73200374	73200563	macs3_results/Chimp_Judith_peak_284	100	.	3.13589	10.0621	6.05685	759	73200753.5	Weak	Low
chr1	74158177	74159177	macs3_results/Chimp_Judith_peak_296	48	.	2.27352	4.80412	2.01619	492	74158423	Weak	Low
chr1	74166624	74166993	macs3_results/Chimp_Judith_peak_297	29	.	1.88153	2.94746	0.929844	492	74166870	Weak	Low
chr1	74665918	74666556	macs3_results/Chimp_Judith_peak_300	40	.	2.11672	4.01628	1.54274	565	74666200.5	Weak	Low
chr1	74859553	74860569	macs3_results/Chimp_Judith_peak_302	52	.	2.35191	5.21929	2.27892	529	74859817.5	Weak	Low
chr1	74859553	74860569	macs3_results/Chimp_Judith_peak_302	52	.	2.35191	5.21929	2.27892	529	74859817.5	Weak	Low
chr1	74957304	74958304	macs3_results/Chimp_Judith_peak_304	52	.	2.35191	5.21929	2.27892	956	74957782	Weak	Low
chr1	75518711	75519633	macs3_results/Chimp_Judith_peak_310	44	.	2.19512	4.40297	1.77013	761	75519091.5	Weak	Low
chr1	76573883	76574392	macs3_results/Chimp_Judith_peak_319	28	.	1.84124	2.88771	0.929844	936	76574351	Weak	Low
chr1	76998159	76999043	macs3_results/Chimp_Judith_peak_322	48	.	2.27352	4.80412	2.01619	483	76998400.5	Weak	Low
chr1	78003175	78003533	macs3_results/Chimp_Judith_peak_332	44	.	2.19512	4.40297	1.77013	470	78003410	Weak	Low
chr1	78274461	78275872	macs3_results/Chimp_Judith_peak_335a	33	.	1.91049	3.35925	1.17874	487	78274704.5	Weak	Low
chr1	78275497	78275872	macs3_results/Chimp_Judith_peak_335a	33	.	1.91049	3.35925	1.17874	487	78275740.5	Weak	Low
chr1	78274461	78275872	macs3_results/Chimp_Judith_peak_335b	54	.	2.35678	5.49129	2.5118	1856	78275389	Weak	Low
chr1	78275497	78275872	macs3_results/Chimp_Judith_peak_335b	54	.	2.35678	5.49129	2.5118	1856	78276425	Weak	Low
chr1	78296842	78297269	macs3_results/Chimp_Judith_peak_337	68	.	2.57773	6.80699	3.39624	485	78297084.5	Weak	Low
chr1	78344647	78345089	macs3_results/Chimp_Judith_peak_338	46	.	2.08934	4.60715	1.94364	1019	78345156.5	Weak	Low
chr1	78579336	78580453	macs3_results/Chimp_Judith_peak_339	65	.	2.48683	6.5655	3.18523	558	78579615	Weak	Low
chr1	78632964	78634046	macs3_results/Chimp_Judith_peak_342	66	.	2.39202	6.67279	3.28112	620	78633274	Weak	Low
chr1	78686913	78688800	macs3_results/Chimp_Judith_peak_343	29	.	1.64211	2.96708	0.946809	1716	78687771	Weak	Low
chr1	78686913	78688800	macs3_results/Chimp_Judith_peak_343	29	.	1.64211	2.96708	0.946809	1716	78687771	Weak	Low
chr1	78686913	78688800	macs3_results/Chimp_Judith_peak_343	29	.	1.64211	2.96708	0.946809	1716	78687771	Weak	Low
chr1	78694116	78694787	macs3_results/Chimp_Judith_peak_345a	67	.	2.4716	6.77641	3.37144	497	78694364.5	Weak	Low
chr1	78692135	78693110	macs3_results/Chimp_Judith_peak_345a	67	.	2.4716	6.77641	3.37144	497	78692383.5	Weak	Low
chr1	78692135	78693110	macs3_results/Chimp_Judith_peak_345a	67	.	2.4716	6.77641	3.37144	497	78692383.5	Weak	Low
chr1	78694116	78694787	macs3_results/Chimp_Judith_peak_345b	68	.	2.38356	6.89012	3.47052	1902	78695067	Weak	Low
chr1	78692135	78693110	macs3_results/Chimp_Judith_peak_345b	68	.	2.38356	6.89012	3.47052	1902	78693086	Weak	Low
chr1	78692135	78693110	macs3_results/Chimp_Judith_peak_345b	68	.	2.38356	6.89012	3.47052	1902	78693086	Weak	Low
chr1	79306783	79307276	macs3_results/Chimp_Judith_peak_351	32	.	1.81143	3.26561	1.1188	657	79307111.5	Weak	Low
chr1	81250231	81251311	macs3_results/Chimp_Judith_peak_378a	36	.	2.03833	3.64447	1.3244	519	81250490.5	Weak	Low
chr1	81250231	81251311	macs3_results/Chimp_Judith_peak_378b	44	.	2.19512	4.40297	1.77013	1590	81251026	Weak	Low
chr1	83243064	83243743	macs3_results/Chimp_Judith_peak_398	48	.	2.27352	4.80412	2.01619	529	83243328.5	Weak	Low
chr1	83456162	83457323	macs3_results/Chimp_Judith_peak_401	44	.	2.19512	4.40297	1.77013	608	83456466	Weak	Low
chr1	84009276	84010334	macs3_results/Chimp_Judith_peak_404	51	.	2.28131	5.18955	2.27892	683	84009617.5	Weak	Low
chr1	84041118	84041996	macs3_results/Chimp_Judith_peak_405	29	.	1.88153	2.94746	0.929844	514	84041375	Weak	Low
chr1	84042193	84042296	macs3_results/Chimp_Judith_peak_405	29	.	1.88153	2.94746	0.929844	514	84042450	Weak	Low
chr1	84060241	84060993	macs3_results/Chimp_Judith_peak_406	71	.	2.66593	7.17264	3.64736	870	84060676	Weak	Low
chr1	84064140	84065410	macs3_results/Chimp_Judith_peak_407	23	.	1.72474	2.31594	0.589454	685	84064482.5	Weak	Low
chr1	84064140	84065410	macs3_results/Chimp_Judith_peak_407	23	.	1.72474	2.31594	0.589454	685	84064482.5	Weak	Low
chr1	84064140	84065410	macs3_results/Chimp_Judith_peak_407	23	.	1.72474	2.31594	0.589454	685	84064482.5	Weak	Low
chr1	84066423	84067443	macs3_results/Chimp_Judith_peak_408	32	.	1.95993	3.28804	1.1188	511	84066678.5	Weak	Low
chr1	84066423	84067443	macs3_results/Chimp_Judith_peak_408	32	.	1.95993	3.28804	1.1188	511	84066678.5	Weak	Low
chr1	84066423	84067443	macs3_results/Chimp_Judith_peak_408	32	.	1.95993	3.28804	1.1188	511	84066678.5	Weak	Low
chr1	84067667	84068672	macs3_results/Chimp_Judith_peak_409	48	.	2.27352	4.80412	2.01619	490	84067912	Weak	Low
chr1	84067667	84068672	macs3_results/Chimp_Judith_peak_409	48	.	2.27352	4.80412	2.01619	490	84067912	Weak	Low
chr1	84067667	84068672	macs3_results/Chimp_Judith_peak_409	48	.	2.27352	4.80412	2.01619	490	84067912	Weak	Low
chr1	84346867	84347519	macs3_results/Chimp_Judith_peak_412	36	.	2.03833	3.64447	1.3244	469	84347101.5	Weak	Low
chr1	84883213	84884432	macs3_results/Chimp_Judith_peak_427	84	.	2.81642	8.47938	4.67208	936	84883681	Weak	Low
chr1	84907400	84908681	macs3_results/Chimp_Judith_peak_430	74	.	2.7439	7.49199	3.86885	600	84907700	Weak	Low
chr1	85008528	85008617	macs3_results/Chimp_Judith_peak_433	48	.	2.27352	4.80412	2.01619	751	85008903.5	Weak	Low
chr1	85246218	85247268	macs3_results/Chimp_Judith_peak_436	44	.	2.19512	4.40297	1.77013	799	85246617.5	Weak	Low
chr1	85276062	85276945	macs3_results/Chimp_Judith_peak_437	40	.	2.11672	4.01628	1.54274	755	85276439.5	Weak	Low
chr1	85726490	85727414	macs3_results/Chimp_Judith_peak_441	44	.	1.89935	4.40081	1.77013	1084	85727032	Weak	Low
chr1	86268213	86268884	macs3_results/Chimp_Judith_peak_449	32	.	1.87599	3.23164	1.1188	495	86268460.5	Weak	Low
chr1	86268213	86268884	macs3_results/Chimp_Judith_peak_449	32	.	1.87599	3.23164	1.1188	495	86268460.5	Weak	Low
chr1	86410798	86412217	macs3_results/Chimp_Judith_peak_452	65	.	2.58711	6.54499	3.17003	1021	86411308.5	Weak	Low
chr1	86587440	86588004	macs3_results/Chimp_Judith_peak_457	44	.	2.19512	4.40297	1.77013	477	86587678.5	Weak	Low
chr1	86634801	86635744	macs3_results/Chimp_Judith_peak_460	56	.	2.43031	5.64808	2.55795	797	86635199.5	Weak	Low
chr1	86715218	86715983	macs3_results/Chimp_Judith_peak_463a	44	.	2.19512	4.40297	1.77013	979	86715707.5	Weak	Low
chr1	86717764	86718776	macs3_results/Chimp_Judith_peak_463a	44	.	2.19512	4.40297	1.77013	979	86718253.5	Weak	Low
chr1	86715218	86715983	macs3_results/Chimp_Judith_peak_463b	36	.	2.03833	3.64447	1.3244	2621	86716528.5	Weak	Low
chr1	86717764	86718776	macs3_results/Chimp_Judith_peak_463b	36	.	2.03833	3.64447	1.3244	2621	86719074.5	Weak	Low
chr1	86715218	86715983	macs3_results/Chimp_Judith_peak_463c	53	.	2.2796	5.30122	2.35024	3350	86716893	Weak	Low
chr1	86717764	86718776	macs3_results/Chimp_Judith_peak_463c	53	.	2.2796	5.30122	2.35024	3350	86719439	Weak	Low
chr1	86722100	86723344	macs3_results/Chimp_Judith_peak_464	85	.	2.79787	8.5687	4.74856	559	86722379.5	Weak	Low
chr1	86722100	86723344	macs3_results/Chimp_Judith_peak_464	85	.	2.79787	8.5687	4.74856	559	86722379.5	Weak	Low
chr1	87392904	87394025	macs3_results/Chimp_Judith_peak_478	40	.	2.11672	4.01628	1.54274	784	87393296	Weak	Low
chr1	87449829	87450668	macs3_results/Chimp_Judith_peak_479	65	.	2.58711	6.54499	3.17003	613	87450135.5	Weak	Low
chr1	87603468	87604230	macs3_results/Chimp_Judith_peak_483	87	.	2.8061	8.77821	4.93933	577	87603756.5	Weak	Low
chr1	87784484	87784538	macs3_results/Chimp_Judith_peak_487	95	.	3.05749	9.52608	5.57326	768	87784868	Weak	Low
chr1	87786874	87787362	macs3_results/Chimp_Judith_peak_488	44	.	2.19512	4.40297	1.77013	776	87787262	Weak	Low
chr1	87799976	87800846	macs3_results/Chimp_Judith_peak_489	25	.	1.77345	2.59417	0.751142	476	87800214	Weak	Low
chr1	89576997	89577176	macs3_results/Chimp_Judith_peak_505	55	.	2.39402	5.50844	2.52682	491	89577242.5	Weak	Low
chr1	89892573	89892809	macs3_results/Chimp_Judith_peak_508	29	.	1.88153	2.94746	0.929844	655	89892900.5	Weak	Low
chr1	89892892	89893784	macs3_results/Chimp_Judith_peak_508	29	.	1.88153	2.94746	0.929844	655	89893219.5	Weak	Low
chr1	89892573	89892902	macs3_results/Chimp_Judith_peak_508	29	.	1.88153	2.94746	0.929844	655	89892900.5	Weak	Low
chr1	89947671	89948779	macs3_results/Chimp_Judith_peak_509	29	.	1.75929	2.98788	0.965189	897	89948119.5	Weak	Low
chr1	92271094	92271300	macs3_results/Chimp_Judith_peak_529	47	.	2.21002	4.79096	2.01619	494	92271341	Weak	Low
chr1	92391490	92392302	macs3_results/Chimp_Judith_peak_530	26	.	1.78227	2.68859	0.806927	487	92391733.5	Weak	Low
chr1	93106266	93106995	macs3_results/Chimp_Judith_peak_540	52	.	2.35191	5.21929	2.27892	728	93106630	Weak	Low
chr1	93307563	93309659	macs3_results/Chimp_Judith_peak_542	43	.	1.95699	4.36851	1.77013	766	93307946	Weak	Low
chr1	93307563	93309659	macs3_results/Chimp_Judith_peak_542	43	.	1.95699	4.36851	1.77013	766	93307946	Weak	Low
chr1	93358564	93359780	macs3_results/Chimp_Judith_peak_545	39	.	2.06218	3.91818	1.54274	573	93358850.5	Weak	Low
chr1	93358564	93359780	macs3_results/Chimp_Judith_peak_545	39	.	2.06218	3.91818	1.54274	573	93358850.5	Weak	Low
chr1	93477140	93477899	macs3_results/Chimp_Judith_peak_549	54	.	2.35678	5.49129	2.5118	530	93477405	Weak	Low
chr1	93882435	93882642	macs3_results/Chimp_Judith_peak_556	61	.	2.41775	6.1322	2.89081	797	93882833.5	Weak	Low
chr1	93894008	93894634	macs3_results/Chimp_Judith_peak_557	52	.	2.35191	5.21929	2.27892	499	93894257.5	Weak	Low
chr1	93894653	93895008	macs3_results/Chimp_Judith_peak_557	52	.	2.35191	5.21929	2.27892	499	93894902.5	Weak	Low
chr1	93956760	93957450	macs3_results/Chimp_Judith_peak_559	32	.	1.84353	3.2551	1.1188	465	93956992.5	Weak	Low
chr1	93956760	93957450	macs3_results/Chimp_Judith_peak_559	32	.	1.84353	3.2551	1.1188	465	93956992.5	Weak	Low
chr1	93965095	93966100	macs3_results/Chimp_Judith_peak_560	43	.	2.17745	4.33887	1.77013	492	93965341	Weak	Low
chr1	94002202	94003305	macs3_results/Chimp_Judith_peak_561	29	.	1.88153	2.94746	0.929844	912	94002658	Weak	Low
chr1	94042602	94043407	macs3_results/Chimp_Judith_peak_564	79	.	2.8223	7.98345	4.25539	599	94042901.5	Weak	Low
chr1	94120967	94122450	macs3_results/Chimp_Judith_peak_565	90	.	2.4336	9.01401	5.12401	582	94121258	Weak	Low
chr1	94120967	94122450	macs3_results/Chimp_Judith_peak_565	90	.	2.4336	9.01401	5.12401	582	94121258	Weak	Low
chr1	94135623	94136959	macs3_results/Chimp_Judith_peak_566	49	.	2.21052	4.90418	2.10325	965	94136105.5	Weak	Low
chr1	94297847	94299271	macs3_results/Chimp_Judith_peak_567	44	.	2.19512	4.40297	1.77013	497	94298095.5	Weak	Low
chr1	94298478	94299271	macs3_results/Chimp_Judith_peak_567	44	.	2.19512	4.40297	1.77013	497	94298726.5	Weak	Low
chr1	95736551	95737558	macs3_results/Chimp_Judith_peak_576	52	.	2.32937	5.25813	2.31346	457	95736779.5	Weak	Low
chr1	96714521	96714889	macs3_results/Chimp_Judith_peak_582	26	.	1.80313	2.62325	0.751142	489	96714765.5	Weak	Low
chr1	97120692	97121286	macs3_results/Chimp_Judith_peak_585	48	.	2.27352	4.80412	2.01619	796	97121090	Weak	Low
chr1	97582602	97583061	macs3_results/Chimp_Judith_peak_589	44	.	2.19512	4.40297	1.77013	531	97582867.5	Weak	Low
chr1	98040484	98041229	macs3_results/Chimp_Judith_peak_591	65	.	2.58711	6.54499	3.17003	500	98040734	Weak	Low
chr1	98235249	98235680	macs3_results/Chimp_Judith_peak_593	20	.	1.64634	2.0261	0.438796	506	98235502	Weak	Low
chr1	98394104	98394514	macs3_results/Chimp_Judith_peak_595	29	.	1.88153	2.94746	0.929844	591	98394399.5	Weak	Low
chr1	98488987	98490191	macs3_results/Chimp_Judith_peak_597	36	.	2.03833	3.64447	1.3244	547	98489260.5	Weak	Low
chr1	98522836	98524182	macs3_results/Chimp_Judith_peak_600	79	.	2.8223	7.98345	4.25539	580	98523126	Weak	Low
chr1	98666882	98667146	macs3_results/Chimp_Judith_peak_603	36	.	1.99614	3.67543	1.34856	624	98667194	Weak	Low
chr1	98763608	98764239	macs3_results/Chimp_Judith_peak_605	44	.	2.19512	4.40297	1.77013	507	98763861.5	Weak	Low
chr1	99272617	99273517	macs3_results/Chimp_Judith_peak_611	56	.	2.43031	5.64808	2.55795	550	99272892	Weak	Low
chr1	99414595	99415114	macs3_results/Chimp_Judith_peak_614	56	.	2.43031	5.64808	2.55795	971	99415080.5	Weak	Low
chr1	99868546	99869528	macs3_results/Chimp_Judith_peak_618	26	.	1.80313	2.62325	0.751142	573	99868832.5	Weak	Low
chr1	99869082	99869929	macs3_results/Chimp_Judith_peak_618	26	.	1.80313	2.62325	0.751142	573	99869368.5	Weak	Low
chr1	100846716	100847718	macs3_results/Chimp_Judith_peak_634	44	.	2.19512	4.40297	1.77013	537	100846984.5	Weak	Low
chr1	101064597	101065231	macs3_results/Chimp_Judith_peak_641	48	.	2.27352	4.80412	2.01619	496	101064845	Weak	Low
chr1	101735372	101736314	macs3_results/Chimp_Judith_peak_649	50	.	2.21099	5.0173	2.19817	752	101735748	Weak	Low
chr1	101752663	101754015	macs3_results/Chimp_Judith_peak_651	62	.	2.41199	6.23993	2.98704	1111	101753218.5	Weak	Low
chr1	101752663	101754015	macs3_results/Chimp_Judith_peak_651	62	.	2.41199	6.23993	2.98704	1111	101753218.5	Weak	Low
chr1	101752663	101754015	macs3_results/Chimp_Judith_peak_651	62	.	2.41199	6.23993	2.98704	1111	101753218.5	Weak	Low
chr1	101754113	101755390	macs3_results/Chimp_Judith_peak_652	39	.	2.00999	3.90605	1.54274	509	101754367.5	Weak	Low
chr1	101754113	101755390	macs3_results/Chimp_Judith_peak_652	39	.	2.00999	3.90605	1.54274	509	101754367.5	Weak	Low
chr1	101754113	101755390	macs3_results/Chimp_Judith_peak_652	39	.	2.00999	3.90605	1.54274	509	101754367.5	Weak	Low
chr1	101892159	101893171	macs3_results/Chimp_Judith_peak_654	48	.	2.27352	4.80412	2.01619	1022	101892670	Weak	Low
chr1	102412201	102412444	macs3_results/Chimp_Judith_peak_658	25	.	1.79489	2.59717	0.751142	498	102412450	Weak	Low
chr1	102582156	102583156	macs3_results/Chimp_Judith_peak_660	40	.	2.11672	4.01628	1.54274	581	102582446.5	Weak	Low
chr1	102957741	102958041	macs3_results/Chimp_Judith_peak_665	40	.	2.11672	4.01628	1.54274	710	102958096	Weak	Low
chr1	103897736	103898652	macs3_results/Chimp_Judith_peak_677	60	.	2.50871	6.0901	2.85411	559	103898015.5	Weak	Low
chr1	104658666	104659837	macs3_results/Chimp_Judith_peak_691	32	.	1.95993	3.28804	1.1188	499	104658915.5	Weak	Low
chr1	104947316	104948363	macs3_results/Chimp_Judith_peak_694	32	.	1.95993	3.28804	1.1188	542	104947587	Weak	Low
chr1	105075511	105076204	macs3_results/Chimp_Judith_peak_700	36	.	2.03833	3.64447	1.3244	572	105075797	Weak	Low
chr1	105594897	105595589	macs3_results/Chimp_Judith_peak_710	32	.	1.95993	3.28804	1.1188	806	105595300	Weak	Low
chr1	105637573	105638548	macs3_results/Chimp_Judith_peak_713	26	.	1.80313	2.62325	0.751142	585	105637865.5	Weak	Low
chr1	105637573	105638548	macs3_results/Chimp_Judith_peak_713	26	.	1.80313	2.62325	0.751142	585	105637865.5	Weak	Low
chr1	106264270	106264828	macs3_results/Chimp_Judith_peak_724	29	.	1.88153	2.94746	0.929844	623	106264581.5	Weak	Low
chr1	106881948	106882018	macs3_results/Chimp_Judith_peak_726	70	.	2.6655	7.0124	3.50578	524	106882210	Weak	Low
chr1	106881431	106882018	macs3_results/Chimp_Judith_peak_726	70	.	2.6655	7.0124	3.50578	524	106881693	Weak	Low
chr1	107242692	107243341	macs3_results/Chimp_Judith_peak_731	50	.	2.28313	5.07789	2.24857	553	107242968.5	Weak	Low
chr1	107290569	107291498	macs3_results/Chimp_Judith_peak_733	29	.	1.88153	2.94746	0.929844	679	107290908.5	Weak	Low
chr1	107762557	107763557	macs3_results/Chimp_Judith_peak_736	74	.	2.7439	7.49199	3.86885	649	107762881.5	Weak	Low
chr1	108324874	108325785	macs3_results/Chimp_Judith_peak_754	28	.	1.58941	2.84095	0.929844	1361	108325554.5	Weak	Low
chr1	108331955	108333438	macs3_results/Chimp_Judith_peak_755a	48	.	2.12151	4.847	2.05428	718	108332314	Weak	Low
chr1	108331955	108333438	macs3_results/Chimp_Judith_peak_755b	43	.	2.06925	4.32873	1.77013	1416	108332663	Weak	Low
chr1	108629619	108630659	macs3_results/Chimp_Judith_peak_757	56	.	2.43031	5.64808	2.55795	592	108629915	Weak	Low
