Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
PACC1	PACC1	chr1	+	37560020	37611573	8.580010	23.249496	38.518024
IRF6	IRF6	chr1	+	40300349	40321118	0.307431	0.833054	1.380142
C1H1orf74	C1H1orf74	chr1	+	40322279	40324525	2.361757	6.399719	10.602576
CD46	CD46	chr1	-	42334489	42384080	16.686752	45.216564	74.911415
PFKFB2	PFKFB2	chr1	-	43067144	43091294	2.434161	6.595914	10.927618
FCAMR	FCAMR	chr1	+	43175139	43188636	0.000000	0.000000	0.000000
PIGR	PIGR	chr1	+	43200534	43218714	0.000000	0.000000	0.000000
EIF2D	EIF2D	chr1	+	43572491	43597913	136.586212	370.111511	613.173035
SLC41A1	SLC41A1	chr1	+	44376513	44401283	6.008694	16.281927	26.974680
RAB29	RAB29	chr1	+	44415008	44422071	31.099779	84.271950	139.615463
MFSD4A	MFSD4A	chr1	-	44599100	44628518	0.995262	2.696889	4.468005
CDK18	CDK18	chr1	-	44664379	44684997	0.516729	1.400195	2.319739
NUAK2	NUAK2	chr1	+	44872765	44892430	2.246669	6.087862	10.085915
TMCC2	TMCC2	chr1	-	44921491	44970663	0.165382	0.448140	0.742445
RBBP5	RBBP5	chr1	+	45088204	45123579	14.840158	40.212795	66.621552
CNTN2	CNTN2	chr1	-	45136146	45158413	0.0	0.0	0.0
PPP1R15B	PPP1R15B	chr1	+	45811333	45816889	36.792606	99.697960	165.172134
ZC3H11A	ZC3H11A	chr1	-	46357440	46415465	74.096146	200.780426	332.637970
CHI3L1	CHI3L1	chr1	+	47068558	47076304	5.097374	13.812498	22.883512
ADORA1	ADORA1	chr1	-	47087756	47131282	0.0	0.0	0.0
ELF3	ELF3	chr1	-	48284638	48290428	0.322541	0.873998	1.447975
CSRP1	CSRP1	chr1	+	48824501	48852552	66.479362	180.140991	298.444153
LAD1	LAD1	chr1	+	48925251	48931045	2.541329	6.886311	11.408725
B3GALT2	B3GALT2	chr1	+	57137703	57145263	0.0	0.0	0.0
GLRX2	GLRX2	chr1	+	57217255	57231015	15.166421	41.096874	68.086227
UCHL5	UCHL5	chr1	+	57274685	57321207	24.961647	67.639275	112.059700
PLA2G4A	PLA2G4A	chr1	-	63550554	63717605	0.407825	1.105095	1.830839
C1orf27P	C1orf27P	chr1	-	64131067	64176917	14.514387	39.330044	65.159073
TRMT1L	TRMT1L	chr1	+	65432351	65475752	9.614803	26.053503	43.163494
RNF2	RNF2	chr1	-	65492188	65550781	14.267499	38.661041	64.050728
COLGALT2	COLGALT2	chr1	+	66588659	66692978	0.089715	0.243103	0.402755
RGL1	RGL1	chr1	-	66701575	67006465	7.941862	21.520287	35.653202
ARPC5	ARPC5	chr1	+	67006742	67016474	115.324951	312.499268	517.725403
NCF2	NCF2	chr1	+	67063943	67101488	70.758034	191.735031	317.652252
NMNAT2	NMNAT2	chr1	+	67242906	67424261	0.090226	0.244488	0.405049
NPL	NPL	chr1	-	67865330	67907037	18.061447	48.941612	81.082802
RNASEL	RNASEL	chr1	+	68119504	68139963	1.013469	2.746225	4.549741
MR1	MR1	chr1	-	69764182	69785302	17.029926	46.146469	76.452019
STX6	STX6	chr1	+	69802927	69854183	11.875330	32.178917	53.311619
TOR1AIP1	TOR1AIP1	chr1	-	70946168	70984028	27.658306	74.946487	124.165741
IFRG15	IFRG15	chr1	+	70988542	71003735	7.149879	19.374228	32.097771
CACYBP	CACYBP	chr1	-	75942513	75953235	65.647560	177.887039	294.709930
RABGAP1L	RABGAP1L	chr1	-	75979565	76806446	3.067514	20.492554	33.950531
SERPINC1	SERPINC1	chr1	+	77069464	77086110	0.0	0.0	0.0
DARS2	DARS2	chr1	-	77132732	77167185	9.531308	25.827253	42.788662
KLHL20	KLHL20	chr1	-	77206533	77278026	7.887860	21.373955	35.410770
PRDX6	PRDX6	chr1	-	77521466	77528902	126.963921	344.037689	569.975952
FMO4	FMO4	chr1	-	79771572	79801431	2.770449	7.507164	12.437307
FMO1	FMO1	chr1	-	79834793	79873814	0.0	0.0	0.0
FMO2	FMO2	chr1	-	79913663	79938670	0.0	0.0	0.0
FMO3	FMO3	chr1	-	80009219	80037068	0.0	0.0	0.0
KIFAP3	KIFAP3	chr1	+	81068789	81227539	30.948973	83.863297	138.938431
CCDC181	CCDC181	chr1	+	81735368	81768465	0.294845	0.798950	1.323640
BLZF1	BLZF1	chr1	-	81775137	81796829	9.323583	25.264374	41.856129
ATP1B1	ATP1B1	chr1	-	81994486	82021197	2.410027	6.530518	10.819274
DCAF6	DCAF6	chr1	-	83123739	83264565	50.093620	144.797546	239.889755
MPC2	MPC2	chr1	+	83264880	83284217	12.036949	32.616859	54.037174
STYXL2	STYXL2	chr1	-	84095341	84133307	0.0	0.0	0.0
TADA1	TADA1	chr1	+	84348853	84368550	4.688038	12.703308	21.045891
POGK	POGK	chr1	-	84371321	84384318	11.757790	31.860413	52.783951
TMCO1	TMCO1	chr1	+	85473818	85521963	11.522879	31.223867	51.729370
ALDH9A1	ALDH9A1	chr1	+	85547389	85585244	54.081768	146.546906	242.787933
RXRG	RXRG	chr1	+	85808149	85852821	0.0	0.0	0.0
RGS4	RGS4	chr1	-	88272669	88280094	0.542800	1.470840	2.436778
UHMK1	UHMK1	chr1	-	88850267	88877559	9.769864	26.473677	43.859604
TOMM40L	TOMM40L	chr1	-	90076135	90080802	9.892533	26.806076	44.410301
APOA2	APOA2	chr1	+	90083452	90084418	0.000000	0.000000	0.000000
B4GALT3	B4GALT3	chr1	+	90129392	90135825	20.936882	56.733257	93.991417
DEDD	DEDD	chr1	+	90177222	90188603	21.049870	57.039425	94.498650
USF1	USF1	chr1	+	90264194	90270575	42.431885	114.978874	190.488388
NCSTN	NCSTN	chr1	-	91007377	91025321	52.338558	141.823257	234.962189
COPA	COPA	chr1	+	91025406	91078740	110.038902	298.175507	493.994873
PEX19	PEX19	chr1	+	91083737	91091671	11.827607	32.049603	53.097385
DCAF8	DCAF8	chr1	+	91106433	91153681	41.402607	112.189804	185.867691
PEA15	PEA15	chr1	-	91154031	91163945	35.069916	95.029938	157.438492
ATP1A2	ATP1A2	chr1	-	91228384	91257324	0.000000	0.000000	0.000000
PIGM	PIGM	chr1	+	91347129	91349329	4.928215	13.354123	22.124111
IFI16	IFI16	chr1	-	92366172	92416343	82.276428	222.946747	369.361511
CCT3	CCT3	chr1	+	95176062	95186996	197.360077	534.792175	886.003662
SLC25A44	SLC25A44	chr1	-	95283884	95302945	21.426294	58.059429	96.188515
SEMA4A	SEMA4A	chr1	-	95322857	95350601	7.612108	20.626740	34.172840
SYT11	SYT11	chr1	-	95633804	95656133	0.711540	1.928080	3.194299
MSTO2P	MSTO2P	chr1	-	95765968	95771707	11.592012	31.411203	52.039730
MSTO1	MSTO1	chr1	-	95766768	95909310	5.460697	14.797005	24.514570
DAP3	DAP3	chr1	-	95779284	95826769	66.914932	181.321274	300.399536
ASH1L	ASH1L	chr1	+	95827137	96188194	7.708980	20.889244	34.607735
YY1AP1	YY1AP1	chr1	+	95835555	95854874	66.565987	180.375732	298.833008
FDPS	FDPS	chr1	-	96204152	96216061	175.200516	474.745789	786.523254
GBA	GBA	chr1	+	96254388	96286018	8.788013	23.813126	39.451805
DKFZP469B0323	DKFZP469B0323	chr1	+	96258083	96286018	10.240626	27.749315	45.972984
DPM3	DPM3	chr1	+	96350152	96350772	11.755318	31.853714	52.772854
SHC1	SHC1	chr1	+	96522415	96533581	31.022367	84.062180	139.267944
PYGO2	PYGO2	chr1	+	96534076	96538823	16.794254	45.507862	75.394020
C1H1orf43	C1H1orf43	chr1	+	97282960	97296253	52.101280	141.180298	233.896973
DKFZP459F0215	DKFZP459F0215	chr1	+	97321111	97348397	150.980606	409.116394	677.793457
TPM3	TPM3	chr1	+	97321115	97348397	70.995461	192.378403	318.718140
RPS27	RPS27	chr1	-	97518170	97519555	2696.375977	7306.445801	12104.773438
INTS3	INTS3	chr1	-	97742449	97789825	41.438107	112.286003	186.027054
DKFZP469C1132	DKFZP469C1132	chr1	+	97850579	97859488	220.803360	598.317078	991.246948
ILF2	ILF2	chr1	+	97850620	97859612	0.326075	0.883575	1.463840
S100A1	S100A1	chr1	-	97889598	97893206	32.254974	87.402214	144.801437
S100A15A	S100A15A	chr1	+	98126044	98129073	0.0	0.0	0.0
RORC	RORC	chr1	+	99749691	99774552	0.0	0.0	0.0
OAZ3	OAZ3	chr1	-	99810530	99817383	0.924364	3.147276	5.214171
TUFT1	TUFT1	chr1	-	99814343	100043405	1.812338	4.910944	8.136084
SELENBP1	SELENBP1	chr1	+	100209872	100218237	0.0	0.0	0.0
VPS72	VPS72	chr1	+	100409087	100430468	14.763431	40.004883	66.277100
MLLT11	MLLT11	chr1	-	100535381	100543486	10.224150	27.704666	45.899021
CDC42SE1	CDC42SE1	chr1	+	100544257	100552840	98.663445	267.351135	442.927338
MINDY1	MINDY1	chr1	+	100597071	100607158	5.376618	14.569173	24.137115
CERS2	CERS2	chr1	+	100630744	100639953	84.071152	227.809967	377.418518
ARNT	ARNT	chr1	+	100730207	100797929	32.304371	87.536064	145.023193
PRPF3	PRPF3	chr1	-	101276269	101302040	36.821999	99.777611	165.304077
ANP32E	ANP32E	chr1	+	101389244	101409972	29.087311	78.818703	130.580933
SV2A	SV2A	chr1	+	101718944	101732679	1.709605	4.632565	7.674887
BOLA1	BOLA1	chr1	-	101732987	101736694	2.150421	5.827056	9.653831
H2BC21	H2BC21	chr1	+	101751004	101753218	1.041723	2.822786	4.676581
HJV	HJV	chr1	+	105637076	105641337	0.0	0.0	0.0
TXNIP	TXNIP	chr1	+	105663991	105667232	119.385330	323.501801	535.953552
PEX11B	PEX11B	chr1	+	105742866	105750324	26.163391	70.895676	117.454659
PDZK1	PDZK1	chr1	+	105959979	105998173	1.394910	3.779827	6.262135
DKFZP469N1232	DKFZP469N1232	chr1	+	105960220	105998038	0.000000	0.000000	0.000000
IGF2BP2	IGF2BP2	chr1	+	106302609	106305446	0.101128	0.274029	0.453991
PRKAB2	PRKAB2	chr1	-	106403183	106420237	9.718729	26.335114	43.630047
ACP6	ACP6	chr1	-	106931200	106963521	11.422199	30.951054	51.277390
PDE4DIP	PDE4DIP	chr1	+	107292961	107326195	6.299060	17.068739	28.278212
PDE4DIPP2	PDE4DIPP2	chr1	-	107591247	107635267	5.282783	20.193195	33.454575
SEC22B	SEC22B	chr1	+	107801301	107824632	33.006599	89.438911	148.175705
PHGDH	PHGDH	chr1	-	108302725	108334932	63.954037	173.298050	287.107239
TENT5C	TENT5C	chr1	-	110508114	110526742	0.906566	2.456547	4.069824
ATP1A1	ATP1A1	chr1	-	111758067	111790344	114.728500	310.883057	515.047791
CASQ2	CASQ2	chr1	+	112412288	112483260	0.0	0.0	0.0
SIKE1	SIKE1	chr1	+	113428072	113435270	10.848940	29.397678	48.703873
CSDE1	CSDE1	chr1	+	113450712	113492163	292.350342	792.189941	1312.441040
NRAS	NRAS	chr1	+	113492318	113504473	44.248440	119.901245	198.643417
BCAS2	BCAS2	chr1	+	113632878	113646249	36.643990	99.295258	164.504929
SLC16A1	SLC16A1	chr1	+	115288481	115332832	32.250961	87.391342	144.783432
RHOC	RHOC	chr1	+	115523841	115527521	42.885757	116.208748	192.525940
CAPZA1	CAPZA1	chr1	-	115556617	115609845	106.487915	288.553314	478.053497
CTTNBP2NL	CTTNBP2NL	chr1	-	115771589	115838929	0.981184	2.658742	4.404805
ATP5PB	ATP5PB	chr1	-	116793264	116805032	171.941360	465.914368	771.892029
WDR77	WDR77	chr1	+	116805231	116814194	31.253975	84.689774	140.307678
SLC16A4	SLC16A4	chr1	+	117903579	117919455	0.0	0.0	0.0
GSTM3	GSTM3	chr1	+	118534214	118537695	0.000000	0.000000	0.000000
GSTM5	GSTM5	chr1	-	118555934	118561550	0.162489	0.440301	0.729458
GSTM1	GSTM1	chr1	-	118574004	118580311	11.367998	30.804186	51.034069
GSTM2	GSTM2	chr1	-	118591305	118610540	18.782497	50.895462	84.319794
GSTM4	GSTM4	chr1	-	118605152	118610824	20.783731	56.318260	93.303886
AMPD2	AMPD2	chr1	-	118634738	118645858	32.903820	89.160408	147.714294
SARS1	SARS1	chr1	-	119030249	119053455	172.632339	467.786713	774.994019
TMEM167B	TMEM167B	chr1	-	119172682	119178750	20.551893	55.690044	92.263100
TAF13	TAF13	chr1	+	119192688	119202982	30.098022	81.557457	135.118301
RNPC3	RNPC3	chr1	-	124894067	125033745	15.046859	40.772896	67.549484
S1PR1	S1PR1	chr1	-	127227787	127232521	17.958845	48.663586	80.622200
SLC30A7	SLC30A7	chr1	-	127490671	127572830	8.130435	22.031269	36.499756
VCAM1	VCAM1	chr1	-	127733749	127752942	7.313148	19.816643	32.830730
RTCA	RTCA	chr1	-	128201656	128227493	21.983063	59.568123	98.688011
DBT	DBT	chr1	+	128246044	128305173	9.965569	27.003983	44.738178
DPYD	DPYD	chr1	+	130727376	131612810	0.0	0.0	0.0
RWDD3	RWDD3	chr1	-	133500775	133516870	6.467717	17.525755	29.035360
F3	F3	chr1	+	134233707	134248498	0.225912	0.612160	1.014181
ABCD3	ABCD3	chr1	-	134262772	134359899	14.644133	39.681618	65.741539
TMED5	TMED5	chr1	+	135608414	135640236	28.445251	77.078903	127.698563
MTF2	MTF2	chr1	-	135653750	135715352	18.829035	51.021568	84.528709
DIPK1A	DIPK1A	chr1	+	135837936	135962538	4.619931	12.518758	20.740141
RPAP2	RPAP2	chr1	-	136425859	136517448	12.584746	34.101242	56.496384
TGFBR3	TGFBR3	chr1	+	136939580	137149418	2.429843	6.584214	10.908233
ZNF326	ZNF326	chr1	-	138837894	138871078	14.867361	40.286507	66.743668
GBP6	GBP6	chr1	-	139462537	139485667	15.817787	42.861904	71.010391
GBP1	GBP1	chr1	+	139780855	139793375	95.475876	258.713654	428.617432
GTF2B	GTF2B	chr1	+	139958548	139997347	51.247677	138.867279	230.064911
HS2ST1	HS2ST1	chr1	-	141802219	142003151	6.177311	16.738832	27.731647
SH3GLB1	SH3GLB1	chr1	-	142174023	142216232	25.205776	68.300804	113.155655
ZNHIT6	ZNHIT6	chr1	+	143244635	143300434	32.594128	88.321220	146.324005
GNG5	GNG5	chr1	+	144520601	144528742	164.863190	446.734436	740.116150
RPF1	RPF1	chr1	-	144528736	144547758	34.620762	93.812851	155.422104
PRKACB	PRKACB	chr1	-	144791225	144880829	8.993189	27.815281	46.082275
DNAJB4	DNAJB4	chr1	-	151108962	151121316	11.514654	31.201582	51.692448
DKFZP459E0515	DKFZP459E0515	chr1	-	151108970	151145095	0.159259	0.431549	0.714957
USP33	USP33	chr1	+	151365163	151430765	19.529331	52.919178	87.672539
PIGK	PIGK	chr1	+	151919583	152048619	5.414988	14.673146	24.309370
ST6GALNAC3	ST6GALNAC3	chr1	-	152518917	153071089	0.0	0.0	0.0
TYW3	TYW3	chr1	-	154408255	154441589	28.541985	77.341019	128.132812
CRYZ	CRYZ	chr1	+	154441714	154469856	42.486786	115.127632	190.734848
TNNI3K	TNNI3K	chr1	-	154620353	154933812	0.000000	0.000000	0.000000
FPGT	FPGT	chr1	-	154961089	154970077	9.124960	24.726162	40.964455
NEGR1	NEGR1	chr1	+	157007178	157929127	0.0	0.0	0.0
ZRANB2	ZRANB2	chr1	+	158260335	158278096	59.033394	159.964447	265.017120
CTH	CTH	chr1	-	158922371	158951130	10.058888	27.256855	45.157116
SRSF11	SRSF11	chr1	-	159110586	159142296	104.853256	284.123840	470.715088
LRRC40	LRRC40	chr1	+	159158129	159219465	27.636934	74.888580	124.069794
WLS	WLS	chr1	+	161161767	161273117	0.155981	0.422666	0.700242
GNG12	GNG12	chr1	+	161584242	161715585	0.971229	2.631767	4.360114
SLC35D1	SLC35D1	chr1	+	162351717	162407127	6.123049	16.591795	27.488045
SGIP1	SGIP1	chr1	-	162655396	162871918	0.0	0.0	0.0
AK4	AK4	chr1	-	164152278	164234640	23.097265	62.587311	103.689980
ALG6	ALG6	chr1	-	165986671	166037661	10.296672	27.901182	46.224590
NFIA	NFIA	chr1	-	168040217	168431551	0.139801	0.378823	0.627605
PRKAA2	PRKAA2	chr1	-	172946301	173007014	0.0	0.0	0.0
TTC4	TTC4	chr1	-	174992185	175021805	20.986309	56.867191	94.213318
FAM151A	FAM151A	chr1	+	175122557	175136928	0.193107	0.523267	0.866910
ACOT11	ACOT11	chr1	-	175134711	175161508	0.466237	1.263376	2.093066
DKFZP469C1319	DKFZP469C1319	chr1	+	175559121	175560795	0.549254	1.488329	2.465752
TMEM59	TMEM59	chr1	+	175663284	175691151	30.679016	83.131790	137.726532
YIPF1	YIPF1	chr1	+	175838210	175876886	16.824415	45.589592	75.529427
NDC1	NDC1	chr1	+	175890488	175961066	10.009706	27.123581	44.936321
SCP2	SCP2	chr1	-	176675570	176794156	36.933426	100.079544	165.804291
PRPF38A	PRPF38A	chr1	-	177328611	177342826	28.877132	78.249176	129.637390
BTF3L4	BTF3L4	chr1	-	177659920	177693172	28.690397	77.743179	128.799088
NRDC	NRDC	chr1	+	177890227	177981958	63.607189	172.358185	285.550140
OSBPL9	OSBPL9	chr1	-	177982365	178156818	75.574730	204.786972	339.275726
PDZK1IP1	PDZK1IP1	chr1	+	182660117	182667674	0.0	0.0	0.0
LOC100173781	LOC100173781	chr1	+	182889852	182902135	0.0	0.0	0.0
LRRC41	LRRC41	chr1	+	183587718	183613951	46.798679	126.811699	210.092133
POMGNT1	POMGNT1	chr1	+	183689658	183699435	21.443451	58.105923	96.265541
TSPAN1	TSPAN1	chr1	-	183702157	183707887	0.000000	0.000000	0.000000
PIK3R3	PIK3R3	chr1	+	183755302	183847089	3.431617	9.298752	15.405477
GPBP1L1	GPBP1L1	chr1	+	184238279	184271677	54.979343	148.979065	246.817383
AKR1A1	AKR1A1	chr1	-	184330395	184350194	65.339783	177.053040	293.328247
TOE1	TOE1	chr1	-	184572863	184576686	13.483342	36.536190	60.530430
UROD	UROD	chr1	-	184904400	184907780	64.731941	175.405960	290.599487
RNF220	RNF220	chr1	-	185287800	185551988	10.959329	137.348969	227.549515
DPH2	DPH2	chr1	-	186003506	186007133	31.098747	84.269150	139.610825
KDM4A	KDM4A	chr1	-	186209005	186265424	25.841084	70.022316	116.007729
ELOVL1	ELOVL1	chr1	+	186551517	186556130	66.588074	180.435577	298.932159
SLC2A1	SLC2A1	chr1	+	187085130	187118219	18.919254	51.266037	84.933731
NFYC	NFYC	chr1	-	189316352	189398803	25.537052	69.198471	114.642845
ZNF684	ZNF684	chr1	-	189550806	189566693	1.903258	5.157312	8.544249
ZMPSTE24	ZMPSTE24	chr1	-	189810454	189853335	16.403130	44.448021	73.638161
RLF	RLF	chr1	-	189871128	189951654	6.094028	16.513159	27.357767
PPT1	PPT1	chr1	+	190017886	190047660	23.189974	62.838524	104.106171
CAP1	CAP1	chr1	-	190047724	190080909	226.448837	613.614807	1016.591064
PPIE	PPIE	chr1	-	190353772	190370508	10.578452	28.664730	47.489578
HPCAL4	HPCAL4	chr1	+	190418790	190431684	0.082585	0.223783	0.370747
MACF1	MACF1	chr1	-	190632097	190914301	20.555042	55.698578	92.277237
NDUFS5	NDUFS5	chr1	-	191085429	191100008	16.520649	44.766468	74.165733
DKFZP468J0613	DKFZP468J0613	chr1	-	191085435	191100049	85.132866	230.686935	382.184814
MYCBP	MYCBP	chr1	+	191266778	191277667	11.007400	29.827061	49.415245
UTP11	UTP11	chr1	-	192141212	192153384	42.788776	115.945953	192.090576
CDCA8	CDCA8	chr1	-	192448346	192465451	8.357088	22.645437	37.517265
GNL2	GNL2	chr1	+	192571861	192601296	39.279865	106.437759	176.338104
STK40	STK40	chr1	+	193804879	193852468	24.007744	65.054459	107.777359
KIAA0319L	KIAA0319L	chr1	+	194655800	194784335	6.834427	18.519440	30.681622
ZMYM6	ZMYM6	chr1	+	195208802	195254856	11.009271	29.832130	49.423645
AK2	AK2	chr1	+	197166110	197193111	0.386538	1.047413	1.735275
DKFZP459I032	DKFZP459I032	chr1	+	197166127	197193111	46.731163	126.628746	209.789047
YARS1	YARS1	chr1	+	197397528	197437446	65.721672	178.087860	295.042664
RBBP4	RBBP4	chr1	-	197541684	197571183	124.130936	336.361053	557.257874
HDAC1	HDAC1	chr1	-	197898545	197941662	117.210114	317.607544	526.188416
EIF3I	EIF3I	chr1	-	198007788	198017811	221.467117	600.115662	994.226807
TMEM234	TMEM234	chr1	+	198017894	198025137	6.956898	18.851303	31.231428
KPNA6	KPNA6	chr1	-	198064798	198128538	9.138365	24.762484	41.024632
ADGRB2	ADGRB2	chr1	+	198498032	198530814	0.531212	1.439440	2.384757
ZCCHC17	ZCCHC17	chr1	-	198913589	198982477	19.171570	51.949741	86.066444
SNRNP40	SNRNP40	chr1	+	198982704	199022074	38.039322	103.076225	170.768967
PUM1	PUM1	chr1	+	199223715	199364921	39.714241	107.614799	178.288147
LAPTM5	LAPTM5	chr1	+	199538485	199564260	532.668457	1443.386719	2391.295166
TRNAU1AP	TRNAU1AP	chr1	-	201702334	201728427	11.050789	29.944633	49.610031
PHACTR4	PHACTR4	chr1	-	201788498	201930810	6.118729	16.580093	27.468657
SESN2	SESN2	chr1	-	202024611	202048159	25.843279	70.028259	116.017578
ATP5IF1	ATP5IF1	chr1	-	202071091	202073023	58.393475	158.230438	262.144379
XKR8	XKR8	chr1	-	202353515	202362860	0.232729	0.630632	1.044784
RPA2	RPA2	chr1	+	202413748	202438487	79.999992	216.778229	359.141968
STX12	STX12	chr1	-	202512918	202564022	27.136797	73.533340	121.824539
GPATCH3	GPATCH3	chr1	+	203471972	203482377	10.842031	29.378954	48.672859
HMGN2	HMGN2	chr1	-	203895083	203898550	95.343925	258.356110	428.025116
DHDDS	DHDDS	chr1	-	203899774	203938445	8.802337	23.851940	39.516109
SH3BGRL3	SH3BGRL3	chr1	-	204094640	204096057	55.660873	150.825836	249.876953
EXTL1	EXTL1	chr1	-	204362531	204377372	0.000000	0.000000	0.000000
MTFR1L	MTFR1L	chr1	-	204572776	204586381	27.064224	73.336685	121.498741
SELENON	SELENON	chr1	-	204588078	204606249	7.962625	21.576550	35.746414
TMEM50A	TMEM50A	chr1	-	205059734	205085029	50.623192	137.175095	227.261429
CLIC4	CLIC4	chr1	-	205566668	205663607	40.738983	110.391571	182.888504
SRRM1	SRRM1	chr1	-	205739676	205770087	30.376740	82.312706	136.369537
NIPAL3	NIPAL3	chr1	-	205961231	206017556	2.916435	7.902746	13.092678
SRSF10	SRSF10	chr1	+	206460205	206471801	48.056393	130.219757	215.738342
HMGCL	HMGCL	chr1	+	206601354	206625274	10.735680	29.090773	48.195419
GALE	GALE	chr1	+	206626416	206632095	39.894062	108.102058	179.095413
RPL11	RPL11	chr1	-	206727826	206732438	3601.445068	9758.937500	16167.876953
ZNF436	ZNF436	chr1	+	207054471	207063041	3.453149	9.357096	15.502135
HNRNPR	HNRNPR	chr1	+	207078078	207112227	94.515144	256.110352	424.304474
DKFZP459H027	DKFZP459H027	chr1	+	208786366	208861620	0.068019	0.184313	0.305356
RAP1GAP	RAP1GAP	chr1	+	208805176	208861620	0.332066	0.899809	1.490736
CAPZB	CAPZB	chr1	+	210862528	211011836	220.779068	598.251282	991.137939
EMC1	EMC1	chr1	+	211096585	211130418	20.188570	54.705536	90.632042
ALDH4A1	ALDH4A1	chr1	+	211470790	211485571	6.532364	17.700933	29.325583
KLHDC7A	KLHDC7A	chr1	-	211873938	211879046	0.112351	0.304441	0.504375
ARHGEF10L	ARHGEF10L	chr1	-	212689885	212846770	1.481418	4.014240	6.650493
SZRD1	SZRD1	chr1	-	214031392	214062793	52.885414	143.305099	237.417175
DKFZP469P2135	DKFZP469P2135	chr1	-	214033173	214062793	8.471102	22.954384	38.029106
FBXO42	FBXO42	chr1	+	214076993	214190451	7.446547	20.178116	33.429592
FBLIM1	FBLIM1	chr1	-	214677626	214697337	0.000000	0.000000	0.000000
DNAJC16	DNAJC16	chr1	-	214898051	214945387	8.280084	22.436775	37.171570
MFN2	MFN2	chr1	-	218268984	218300560	33.826160	91.659698	151.854935
PLOD1	PLOD1	chr1	-	218306284	218350123	27.762501	75.228828	124.633492
CLCN6	CLCN6	chr1	-	218450846	218486745	10.069044	27.284372	45.202705
AGTRAP	AGTRAP	chr1	-	218539950	218560942	1.344738	3.643875	6.036899
TARDBP	TARDBP	chr1	-	219334585	219348191	47.987553	130.033218	215.429306
DFFA	DFFA	chr1	+	219904883	219917173	18.543118	50.246811	83.245155
CORT	CORT	chr1	-	219925314	219927414	0.000000	0.000000	0.000000
APITD1	APITD1	chr1	-	219934356	219950939	7.012202	19.001162	31.479702
SLC2A5	SLC2A5	chr1	+	221375577	221409052	15.499501	41.999435	69.581520
ENO1	ENO1	chr1	+	221568213	221585578	1685.896851	4568.322266	7568.454102
DNAJC11	DNAJC11	chr1	+	223806162	223875792	26.548794	71.940018	119.184845
ZBTB48	ZBTB48	chr1	-	223920554	223930431	13.799515	37.392933	61.949818
ACOT7	ACOT7	chr1	+	224161332	224263735	11.873786	32.174736	53.304695
KCNAB2	KCNAB2	chr1	-	224432899	224543545	32.249203	87.386574	144.775528
TPRG1L	TPRG1L	chr1	-	227036533	227041616	31.454630	85.233490	141.208466
PRXL2B	PRXL2B	chr1	-	227964923	227969451	24.657806	66.815956	110.695671
