Sample	aligned_libsize	Subfamily:Family:Class	copies	fpkm	uniq_counts	tot_counts	tot_reads	score
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M4:L1:LINE	17042	1177.19118182	3874	3962.05	3999	99.08
Orang_Jaqo_Zeb2_neg_R1	9136678	MER5B:MER1_type:DNA	21303	1986.41040522	3747	3778.76	3796	99.55
Orang_Jaqo_Zeb2_neg_R1	9136678	MIRm:MIR:SINE	24890	2364.21803268	3730	3750.77	3768	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	FLAM_A:Alu:SINE	15574	1987.46113164	3516	3557.54	3573	99.57
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB8:L1:LINE	14030	1066.84650787	3380	3439.50	3490	98.55
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB3:L1:LINE	14597	1050.34287797	3234	3292.27	3311	99.43
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME3A:L1:LINE	16030	1034.85829203	3127	3164.33	3188	99.26
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1B:MaLR:LTR	15775	1027.79764545	3022	3070.78	3106	98.87
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1C:MaLR:LTR	17357	1075.60345518	2977	3035.09	3069	98.89
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1D:MaLR:LTR	17959	1054.71550478	2840	2892.57	2925	98.89
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB5:L1:LINE	7903	660.304374129	2776	2832.03	2850	99.37
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1K:MaLR:LTR	16229	1109.64442914	2713	2746.10	2753	99.75
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA3:L1:LINE	24673	1109.26497095	2649	4009.06	4337	92.44
Orang_Jaqo_Zeb2_neg_R1	9136678	MER58A:MER1_type:DNA	11932	1303.64344833	2490	2541.23	2553	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA7:L1:LINE	11577	457.242573096	2420	2508.59	2534	99.00
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA5:L1:LINE	10261	469.136899158	2404	2610.99	2749	94.98
Orang_Jaqo_Zeb2_neg_R1	9136678	MER3:MER1_type:DNA	9186	1116.72443914	2332	2346.88	2359	99.49
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1J:MaLR:LTR	13432	1039.86259192	2330	2370.84	2387	99.32
Orang_Jaqo_Zeb2_neg_R1	9136678	MER2:MER2_type:DNA	8075	908.022274072	2318	2356.86	2378	99.11
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MEf:L1:LINE	12375	598.732909981	2303	2343.77	2366	99.06
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSg1:Alu:SINE	5531	930.120165013	2293	2329.21	2354	98.95
Orang_Jaqo_Zeb2_neg_R1	9136678	MER33:MER1_type:DNA	8121	848.588559631	2151	2173.94	2179	99.77
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MEc:L1:LINE	16570	651.46692558	2146	2199.05	2210	99.50
Orang_Jaqo_Zeb2_neg_R1	9136678	L4:RTE:LINE	14700	1309.30148434	2146	2169.17	2183	99.37
Orang_Jaqo_Zeb2_neg_R1	9136678	FAM:Alu:SINE	4787	959.675087296	2128	2144.95	2155	99.53
Orang_Jaqo_Zeb2_neg_R1	9136678	HAL1-3A_ME:L1:LINE	1370	633.968317928	2126	2127.00	2127	100.00
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA15:L1:LINE	7206	327.162043675	2098	2136.06	2148	99.44
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1A0:MaLR:LTR	18077	846.702099564	2096	2125.71	2142	99.24
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME2:L1:LINE	11121	707.419450806	2063	2099.12	2122	98.92
Orang_Jaqo_Zeb2_neg_R1	9136678	THE1B:MaLR:LTR	20021	793.599419525	2026	2068.15	2098	98.58
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC1:L1:LINE	11484	572.130140691	1935	1964.36	1976	99.41
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MD2:L1:LINE	9617	540.275271615	1924	1967.67	1976	99.58
Orang_Jaqo_Zeb2_neg_R1	9136678	MSTA:MaLR:LTR	16852	686.7700587	1868	1897.88	1920	98.85
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PB1:L1:LINE	11362	551.266125129	1828	1874.83	1902	98.57
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB4:L1:LINE	7712	572.311291136	1752	1810.02	1831	98.85
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1L:MaLR:LTR	10487	649.82709501	1735	1757.53	1768	99.41
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MEg:L1:LINE	15830	662.722948245	1733	1772.52	1799	98.53
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC:L1:LINE	11455	737.724143598	1713	1752.83	1782	98.36
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MEd:L1:LINE	9089	536.35805066	1685	1706.14	1714	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA6:L1:LINE	5586	259.903295887	1668	1734.76	1791	96.86
Orang_Jaqo_Zeb2_neg_R1	9136678	MER5A1:MER1_type:DNA	13847	922.683758033	1657	1668.05	1677	99.47
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA9:L1:LINE	14487	428.582887259	1589	1632.43	1641	99.48
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC3:L1:LINE	11474	489.989099162	1559	1600.42	1623	98.61
Orang_Jaqo_Zeb2_neg_R1	9136678	AluSq/x:Alu:SINE	9122	811.046442101	1502	1524.04	1552	98.20
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA4:L1:LINE	10764	436.989723695	1482	1731.86	1966	88.09
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger15a:TcMar:DNA	4386	632.223659204	1476	1493.01	1499	99.60
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT-int:MaLR:LTR	2832	226.535326194	1469	1517.09	1539	98.58
Orang_Jaqo_Zeb2_neg_R1	9136678	MER58B:MER1_type:DNA	5830	663.326717602	1463	1485.38	1491	99.62
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB2:L1:LINE	7369	472.162813937	1427	1450.07	1457	99.52
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME3:L1:LINE	6242	507.490096564	1391	1411.62	1418	99.55
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger3b:MER2_type:DNA	5743	397.581699157	1388	1415.79	1434	98.73
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie1a:MER1_type:DNA	4730	435.050202063	1378	1427.19	1442	98.97
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1H:MaLR:LTR	9016	438.892561936	1376	1416.13	1440	98.34
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA16:L1:LINE	12116	408.625869291	1375	1406.18	1417	99.24
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME2z:L1:LINE	6487	548.608653188	1356	1358.30	1363	99.66
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger3a:MER2_type:DNA	4735	499.25354515	1333	1346.01	1349	99.78
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA8:L1:LINE	9445	396.151683275	1331	1346.96	1361	98.97
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MEe:L1:LINE	10409	482.321076209	1281	1303.26	1312	99.33
Orang_Jaqo_Zeb2_neg_R1	9136678	MER1B:MER1_type:DNA	4700	502.541565537	1273	1292.22	1301	99.33
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie4z:MER1_type:DNA	5204	752.185470861	1269	1280.26	1280	100.02
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MD:L1:LINE	8171	423.054148313	1264	1285.68	1300	98.90
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA4:L1:LINE	8653	397.125585541	1232	1252.02	1258	99.52
Orang_Jaqo_Zeb2_neg_R1	9136678	SVA_A:Other:Other	2025	402.872092679	1206	1756.21	1750	100.35
Orang_Jaqo_Zeb2_neg_R1	9136678	L3b:CR1:LINE	6473	724.950937536	1203	1210.69	1212	99.89
Orang_Jaqo_Zeb2_neg_R1	9136678	MARNA:Mariner:DNA	2913	521.005934903	1201	1212.14	1215	99.76
Orang_Jaqo_Zeb2_neg_R1	9136678	MER34B-int:ERV1:LTR	566	331.352261597	1200	1203.50	1204	99.96
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR33:ERVL:LTR	8000	438.321530874	1195	1202.07	1211	99.26
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR5B:ERVK:LTR	411	129.442855044	1185	1212.82	1218	99.58
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger4a:MER2_type:DNA	3033	560.484767808	1178	1188.63	1198	99.22
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M2:L1:LINE	8986	290.825106616	1151	1196.00	1225	97.63
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie1:MER1_type:DNA	2204	243.146670243	1147	1164.29	1173	99.26
Orang_Jaqo_Zeb2_neg_R1	9136678	MSTB:MaLR:LTR	7642	382.750884719	1144	1155.49	1164	99.27
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MCa:L1:LINE	7067	330.834761784	1114	1127.61	1132	99.61
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie8:MER1_type:DNA	2508	283.196089717	1101	1115.69	1123	99.35
Orang_Jaqo_Zeb2_neg_R1	9136678	MER21C:ERV1:LTR	4126	290.90942327	1092	1118.60	1130	98.99
Orang_Jaqo_Zeb2_neg_R1	9136678	THE1D:MaLR:LTR	11399	389.042535006	1082	1098.02	1113	98.65
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA13:L1:LINE	8038	277.640972398	1075	1097.57	1104	99.42
Orang_Jaqo_Zeb2_neg_R1	9136678	MER1A:MER1_type:DNA	2801	285.509087387	1075	1154.13	1176	98.14
Orang_Jaqo_Zeb2_neg_R1	9136678	MER21B:ERV1:LTR	3337	310.997582795	1052	1080.65	1089	99.23
Orang_Jaqo_Zeb2_neg_R1	9136678	MER4B-int:ERV1:LTR	1337	158.729098526	1045	1228.81	1234	99.58
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1A:MaLR:LTR	7937	438.354320804	1038	1049.66	1061	98.93
Orang_Jaqo_Zeb2_neg_R1	9136678	HSMAR2:Mariner:DNA	1662	165.310211836	1029	1046.05	1053	99.34
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR40b:ERVL:LTR	1115	168.45147373	1027	1034.09	1038	99.62
Orang_Jaqo_Zeb2_neg_R1	9136678	HSMAR1:Mariner:DNA	699	121.832061477	1026	1070.39	1073	99.76
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M4b:L1:LINE	5572	271.740448577	999	1018.08	1028	99.04
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA6:L1:LINE	4734	288.677411905	994	1004.30	1012	99.24
Orang_Jaqo_Zeb2_neg_R1	9136678	MER21A:ERV1:LTR	1654	227.381810466	984	1000.63	1010	99.07
Orang_Jaqo_Zeb2_neg_R1	9136678	MER20B:MER1_type:DNA	3448	378.220148247	983	991.35	998	99.33
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1N2:MaLR:LTR	5355	302.077335549	954	957.50	959	99.84
Orang_Jaqo_Zeb2_neg_R1	9136678	MER117:MER1_type:DNA	3989	493.630710327	943	947.79	950	99.77
Orang_Jaqo_Zeb2_neg_R1	9136678	MER68:ERVL:LTR	1690	289.332289303	927	953.70	958	99.55
Orang_Jaqo_Zeb2_neg_R1	9136678	ERVL-E-int:ERVL:LTR	9815	318.695137197	918	960.27	969	99.10
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M1:L1:LINE	9780	293.582056843	916	948.49	961	98.70
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MD1:L1:LINE	5870	266.08704087	916	931.92	940	99.14
Orang_Jaqo_Zeb2_neg_R1	9136678	MER112:MER1_type:DNA	3808	456.763591663	909	916.74	921	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	MER102b:MER1_type:DNA	3661	394.706942203	884	890.70	895	99.52
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MD3:L1:LINE	4494	352.485099579	883	891.80	894	99.75
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR84a:ERVL:LTR	595	120.041735904	873	886.07	892	99.34
Orang_Jaqo_Zeb2_neg_R1	9136678	L1P1:L1:LINE	12720	434.998844759	866	1274.25	1788	71.27
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger7:MER2_type:DNA	3382	281.674057199	856	867.32	872	99.46
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PREC2:L1:LINE	7458	263.432561529	848	870.87	879	99.07
Orang_Jaqo_Zeb2_neg_R1	9136678	MER103:DNA:DNA	6021	508.346297796	848	854.84	858	99.63
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA2:L1:LINE	6455	245.265306264	840	864.26	869	99.45
Orang_Jaqo_Zeb2_neg_R1	9136678	MSTA-int:MaLR:LTR	2442	104.562358129	831	850.62	857	99.26
Orang_Jaqo_Zeb2_neg_R1	9136678	MER46C:MER2_type:DNA	2455	358.26807402	829	833.92	839	99.39
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1F2:MaLR:LTR	5213	288.201344364	828	843.11	850	99.19
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA10:L1:LINE	6527	195.249497407	827	849.88	860	98.82
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger4b:MER2_type:DNA	2026	315.919636781	820	822.89	826	99.62
Orang_Jaqo_Zeb2_neg_R1	9136678	MSTD:MaLR:LTR	6735	358.846175394	819	838.42	850	98.64
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M4c:L1:LINE	5563	283.368640012	800	817.15	824	99.17
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA5:L1:LINE	3884	180.224704349	794	800.69	802	99.84
Orang_Jaqo_Zeb2_neg_R1	9136678	MER47A:MER2_type:DNA	2293	270.017819429	794	800.01	803	99.63
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA7:L1:LINE	7340	308.716909867	788	804.43	812	99.07
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MDa:L1:LINE	6413	229.998983213	768	795.23	804	98.91
Orang_Jaqo_Zeb2_neg_R1	9136678	THE1C:MaLR:LTR	8887	330.784386627	768	789.80	795	99.35
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger2:MER2_type:DNA	3067	197.178284884	756	762.87	766	99.59
Orang_Jaqo_Zeb2_neg_R1	9136678	HUERS-P3-int:ERV1:LTR	623	42.2173526743	754	774.04	777	99.62
Orang_Jaqo_Zeb2_neg_R1	9136678	MER30:MER1_type:DNA	3552	403.294476285	753	757.85	759	99.85
Orang_Jaqo_Zeb2_neg_R1	9136678	MER82:MER2_type:DNA	2821	231.065146794	749	754.93	761	99.20
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1I:MaLR:LTR	9635	349.865363977	748	785.28	796	98.65
Orang_Jaqo_Zeb2_neg_R1	9136678	MER44A:MER2_type:DNA	2147	254.213001914	741	759.42	770	98.63
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1F1:MaLR:LTR	2818	249.927699704	729	739.41	749	98.72
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR12C:ERV1:LTR	2559	251.526014735	724	791.68	797	99.33
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA8:L1:LINE	6886	231.146303281	720	738.46	771	95.78
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MC2:L1:LINE	5301	244.244660236	719	736.09	746	98.67
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M3:L1:LINE	6532	269.432370055	718	765.95	775	98.83
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie16a:MER1_type:DNA	1676	357.249847251	716	720.36	722	99.77
Orang_Jaqo_Zeb2_neg_R1	9136678	MSTB1:MaLR:LTR	4320	229.795859673	704	726.40	726	100.05
Orang_Jaqo_Zeb2_neg_R1	9136678	MER91A:Tip100:DNA	3206	380.673674796	696	701.77	705	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	HAL1b:L1:LINE	4030	338.078351968	691	695.08	702	99.01
Orang_Jaqo_Zeb2_neg_R1	9136678	MER113:MER1_type:DNA	3441	279.79731984	683	687.99	694	99.13
Orang_Jaqo_Zeb2_neg_R1	9136678	MER102a:MER1_type:DNA	2903	300.743857944	680	682.50	683	99.93
Orang_Jaqo_Zeb2_neg_R1	9136678	MSTC:MaLR:LTR	2768	169.043196964	679	689.74	700	98.53
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MA4A:L1:LINE	5401	205.883508986	677	694.97	700	99.28
Orang_Jaqo_Zeb2_neg_R1	9136678	MER104:Tc2:DNA	1940	317.303781105	677	680.62	685	99.36
Orang_Jaqo_Zeb2_neg_R1	9136678	MER2B:MER2_type:DNA	1242	217.838997209	676	680.22	685	99.30
Orang_Jaqo_Zeb2_neg_R1	9136678	HERV4_I-int:ERV1:LTR	330	97.973878017	657	708.75	728	97.36
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR16C:ERVL:LTR	6262	238.462907505	655	665.72	675	98.62
Orang_Jaqo_Zeb2_neg_R1	9136678	MamRep434:TcMar:DNA	1912	251.099809539	654	655.06	656	99.86
Orang_Jaqo_Zeb2_neg_R1	9136678	L1ME5:L1:LINE	3065	178.418365996	647	656.38	660	99.45
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1F:MaLR:LTR	3826	255.843225043	647	662.37	684	96.84
Orang_Jaqo_Zeb2_neg_R1	9136678	SVA_D:Other:Other	476	166.496203528	644	674.68	695	97.08
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PB4:L1:LINE	6630	230.922121042	640	660.97	663	99.69
Orang_Jaqo_Zeb2_neg_R1	9136678	Harlequin-int:ERV1:LTR	546	85.2734069223	639	706.16	709	99.60
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1A1:MaLR:LTR	5915	250.607983029	639	660.47	674	97.99
Orang_Jaqo_Zeb2_neg_R1	9136678	MamRep137:TcMar?:DNA	2057	269.488975253	638	641.91	646	99.37
Orang_Jaqo_Zeb2_neg_R1	9136678	MER61-int:ERV1:LTR	1071	54.2881104833	631	719.86	756	95.22
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie15a:MER1_type:DNA	2988	347.217745866	629	632.70	636	99.48
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie4a:MER1_type:DNA	2923	274.293251012	621	625.40	628	99.59
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie1b:MER1_type:DNA	2106	240.170469839	617	623.26	626	99.56
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1E2:MaLR:LTR	3504	203.381651818	613	627.71	633	99.16
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR8:ERV1:LTR	3127	194.843588476	604	618.50	621	99.60
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger10:Tigger:DNA	929	175.598333635	600	608.48	610	99.75
Orang_Jaqo_Zeb2_neg_R1	9136678	MER65C:ERV1:LTR	577	104.410071825	599	600.82	603	99.64
Orang_Jaqo_Zeb2_neg_R1	9136678	MER58C:MER1_type:DNA	2182	308.789535751	595	600.26	603	99.55
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA17:L1:LINE	4276	175.96110097	587	598.25	601	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	THE1A:MaLR:LTR	3752	193.757377214	586	594.37	598	99.39
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger4:MER2_type:DNA	1473	144.409139945	584	593.50	594	99.92
Orang_Jaqo_Zeb2_neg_R1	9136678	Alu:Alu:SINE	12630	390.343718321	562	576.91	588	98.11
Orang_Jaqo_Zeb2_neg_R1	9136678	MER4-int:ERV1:LTR	2501	145.664912601	560	577.22	582	99.18
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR78:ERV1:LTR	4260	197.858784163	551	559.19	562	99.50
Orang_Jaqo_Zeb2_neg_R1	9136678	MER9:ERVK:LTR	986	106.561325508	551	569.70	577	98.73
Orang_Jaqo_Zeb2_neg_R1	9136678	MER81:AcHobo:DNA	3238	386.304321036	543	545.00	551	98.91
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR2B:ERV1:LTR	289	77.8335631663	538	543.10	547	99.29
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1J2:MaLR:LTR	6216	287.083520672	534	546.54	557	98.12
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger2a:MER2_type:DNA	2920	229.097090021	531	543.51	549	99.00
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR16A:ERVL:LTR	6311	230.400470542	526	531.51	537	98.98
Orang_Jaqo_Zeb2_neg_R1	9136678	L1PA11:L1:LINE	3673	141.779635503	525	539.49	543	99.35
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1G1:MaLR:LTR	3149	192.129359433	524	530.20	534	99.29
Orang_Jaqo_Zeb2_neg_R1	9136678	HAL1-2a_MD:L1:LINE	602	270.227898551	513	516.50	517	99.90
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR87:ERVL?:LTR	556	109.146663689	506	508.05	509	99.81
Orang_Jaqo_Zeb2_neg_R1	9136678	HERVH-int:ERV1:LTR	3112	199.822418404	502	554.42	557	99.54
Orang_Jaqo_Zeb2_neg_R1	9136678	AluJo/FLAM:Alu:SINE	2015	245.688440883	496	516.31	539	95.79
Orang_Jaqo_Zeb2_neg_R1	9136678	MER77:ERVL:LTR	2124	175.750038056	494	499.34	502	99.47
Orang_Jaqo_Zeb2_neg_R1	9136678	L1M6:L1:LINE	5919	223.5277297	492	497.65	506	98.35
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR48B:ERV1:LTR	911	116.827077917	491	493.00	495	99.60
Orang_Jaqo_Zeb2_neg_R1	9136678	Tigger5:MER2_type:DNA	2633	241.353793478	490	494.05	497	99.41
Orang_Jaqo_Zeb2_neg_R1	9136678	MER94:AcHobo:DNA	4136	285.138717437	486	493.00	493	100.00
Orang_Jaqo_Zeb2_neg_R1	9136678	MER4D1:ERV1:LTR	1262	117.201503509	484	486.82	488	99.76
Orang_Jaqo_Zeb2_neg_R1	9136678	LTR5_Hs:ERVK:LTR	425	101.800739822	483	526.42	531	99.14
Orang_Jaqo_Zeb2_neg_R1	9136678	MamSINE1:tRNA:SINE	1445	256.664138498	482	486.00	486	100.00
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie5:MER1_type:DNA	2389	173.68944093	477	498.25	502	99.25
Orang_Jaqo_Zeb2_neg_R1	9136678	L1MB1:L1:LINE	5347	135.129320115	474	483.14	489	98.80
Orang_Jaqo_Zeb2_neg_R1	9136678	MER11C:ERVK:LTR	744	114.746499955	474	523.36	530	98.75
Orang_Jaqo_Zeb2_neg_R1	9136678	Cheshire:MER1_type:DNA	1226	127.063672579	473	477.00	478	99.79
Orang_Jaqo_Zeb2_neg_R1	9136678	MLT1E1A:MaLR:LTR	2980	150.123970851	468	478.71	482	99.32
Orang_Jaqo_Zeb2_neg_R1	9136678	Charlie6:MER1_type:DNA	232	44.9882068733	460	471.00	471	100.00
