Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MR1	MR1	chr1	-	69764182	69785302	14.889893	60.271786	98.136803
STX6	STX6	chr1	+	69802927	69854183	11.157951	45.165516	73.540199
TOR1AIP1	TOR1AIP1	chr1	-	70946168	70984028	10.453946	42.315823	68.900223
IFRG15	IFRG15	chr1	+	70988542	71003735	3.275325	13.257967	21.587122
CACYBP	CACYBP	chr1	-	75942513	75953235	87.870918	355.686737	579.142578
RABGAP1L	RABGAP1L	chr1	-	75979565	76806446	6.898651	68.464600	111.476639
SERPINC1	SERPINC1	chr1	+	77069464	77086110	0.0	0.0	0.0
DARS2	DARS2	chr1	-	77132732	77167185	7.081402	28.664328	46.672344
KLHL20	KLHL20	chr1	-	77206533	77278026	3.777099	15.289063	24.894232
PRDX6	PRDX6	chr1	-	77521466	77528902	101.685677	411.606567	670.193420
FMO4	FMO4	chr1	-	79771572	79801431	4.031474	16.318731	26.570774
FMO1	FMO1	chr1	-	79834793	79873814	0.0	0.0	0.0
FMO2	FMO2	chr1	-	79913663	79938670	0.000000	0.000000	0.000000
FMO3	FMO3	chr1	-	80009219	80037068	0.0	0.0	0.0
KIFAP3	KIFAP3	chr1	+	81068789	81227539	18.640091	75.451965	122.853729
CCDC181	CCDC181	chr1	+	81735368	81768465	0.241753	0.978576	1.593354
BLZF1	BLZF1	chr1	-	81775137	81796829	5.147692	20.836994	33.927582
ATP1B1	ATP1B1	chr1	-	81994486	82021197	6.594804	26.694660	43.465256
DCAF6	DCAF6	chr1	-	83123739	83264565	30.935320	133.567902	217.480316
MPC2	MPC2	chr1	+	83264880	83284217	9.426338	38.156235	62.127426
STYXL2	STYXL2	chr1	-	84095341	84133307	0.000000	0.000000	0.000000
TADA1	TADA1	chr1	+	84348853	84368550	3.821234	15.467714	25.185118
POGK	POGK	chr1	-	84371321	84384318	8.130135	32.909420	53.584366
TMCO1	TMCO1	chr1	+	85473818	85521963	7.068854	28.613535	46.589642
ALDH9A1	ALDH9A1	chr1	+	85547389	85585244	45.683197	184.917923	301.090332
RXRG	RXRG	chr1	+	85808149	85852821	0.0	0.0	0.0
RGS4	RGS4	chr1	-	88272669	88280094	0.0	0.0	0.0
UHMK1	UHMK1	chr1	-	88850267	88877559	5.026615	20.346897	33.129585
TOMM40L	TOMM40L	chr1	-	90076135	90080802	8.268729	33.470432	54.497818
APOA2	APOA2	chr1	+	90083452	90084418	0.0	0.0	0.0
B4GALT3	B4GALT3	chr1	+	90129392	90135825	14.686497	59.448479	96.796257
DEDD	DEDD	chr1	+	90177222	90188603	14.391609	58.254822	94.852699
USF1	USF1	chr1	+	90264194	90270575	25.827660	104.546036	170.225815
NCSTN	NCSTN	chr1	-	91007377	91025321	30.704233	124.285583	202.366501
COPA	COPA	chr1	+	91025406	91078740	70.971619	287.281219	467.762115
PEX19	PEX19	chr1	+	91083737	91091671	9.905602	40.096218	65.286179
DCAF8	DCAF8	chr1	+	91106433	91153681	26.970715	109.172928	177.759491
PEA15	PEA15	chr1	-	91154031	91163945	29.808992	120.661797	196.466095
ATP1A2	ATP1A2	chr1	-	91228384	91257324	0.000000	0.000000	0.000000
PIGM	PIGM	chr1	+	91347129	91349329	0.919582	3.722314	6.060812
IFI16	IFI16	chr1	-	92366172	92416343	51.351845	207.863647	338.451477
CCT3	CCT3	chr1	+	95176062	95186996	158.839798	642.956909	1046.886597
SLC25A44	SLC25A44	chr1	-	95283884	95302945	12.204460	49.401604	80.437561
SEMA4A	SEMA4A	chr1	-	95322857	95350601	0.882618	3.572690	5.817188
SYT11	SYT11	chr1	-	95633804	95656133	0.302949	1.226287	1.996686
MSTO2P	MSTO2P	chr1	-	95765968	95771707	5.953481	24.098694	39.238403
MSTO1	MSTO1	chr1	-	95766768	95909310	5.070423	20.524223	33.418316
DAP3	DAP3	chr1	-	95779284	95826769	58.316319	236.054672	384.353180
ASH1L	ASH1L	chr1	+	95827137	96188194	2.661000	10.771282	17.538208
YY1AP1	YY1AP1	chr1	+	95835555	95854874	28.254732	114.370422	186.222244
FDPS	FDPS	chr1	-	96204152	96216061	208.655457	844.602295	1375.213379
GBA	GBA	chr1	+	96254388	96286018	17.239153	69.781204	113.620384
DKFZP469B0323	DKFZP469B0323	chr1	+	96258083	96286018	2.952332	11.950545	19.458328
DPM3	DPM3	chr1	+	96350152	96350772	2.239362	9.064562	14.759262
SHC1	SHC1	chr1	+	96522415	96533581	10.160282	41.127121	66.964729
PYGO2	PYGO2	chr1	+	96534076	96538823	11.447705	46.338394	75.449921
C1H1orf43	C1H1orf43	chr1	+	97282960	97296253	37.164062	150.433884	244.942169
DKFZP459F0215	DKFZP459F0215	chr1	+	97321111	97348397	136.686295	553.283203	900.876587
TPM3	TPM3	chr1	+	97321115	97348397	46.343689	187.591476	305.443542
RPS27	RPS27	chr1	-	97518170	97519555	857.867981	3472.505859	5654.064941
INTS3	INTS3	chr1	-	97742449	97789825	21.687998	87.789383	142.941986
DKFZP469C1132	DKFZP469C1132	chr1	+	97850579	97859488	161.663834	654.388062	1065.499512
ILF2	ILF2	chr1	+	97850620	97859612	0.336415	1.361752	2.217255
S100A1	S100A1	chr1	-	97889598	97893206	0.0	0.0	0.0
S100A15A	S100A15A	chr1	+	98126044	98129073	0.0	0.0	0.0
RORC	RORC	chr1	+	99749691	99774552	0.0	0.0	0.0
OAZ3	OAZ3	chr1	-	99810530	99817383	0.634107	3.142616	5.116926
TUFT1	TUFT1	chr1	-	99814343	100043405	0.660052	2.671780	4.350293
SELENBP1	SELENBP1	chr1	+	100209872	100218237	0.000000	0.000000	0.000000
VPS72	VPS72	chr1	+	100409087	100430468	9.484216	38.390514	62.508892
MLLT11	MLLT11	chr1	-	100535381	100543486	6.095767	24.674643	40.176186
CDC42SE1	CDC42SE1	chr1	+	100544257	100552840	66.099365	267.559143	435.649902
MINDY1	MINDY1	chr1	+	100597071	100607158	0.765108	3.097029	5.042699
CERS2	CERS2	chr1	+	100630744	100639953	64.691986	261.862305	426.374146
ARNT	ARNT	chr1	+	100730207	100797929	23.132296	93.635651	152.461121
PRPF3	PRPF3	chr1	-	101276269	101302040	27.002251	109.300591	177.967331
ANP32E	ANP32E	chr1	+	101389244	101409972	14.840443	60.071625	97.810890
SV2A	SV2A	chr1	+	101718944	101732679	0.103273	0.418032	0.680655
BOLA1	BOLA1	chr1	-	101732987	101736694	1.196003	4.841219	7.882657
H2BC21	H2BC21	chr1	+	101751004	101753218	0.939937	3.804708	6.194968
HJV	HJV	chr1	+	105637076	105641337	0.0	0.0	0.0
TXNIP	TXNIP	chr1	+	105663991	105667232	27.328493	110.621162	180.117554
PEX11B	PEX11B	chr1	+	105742866	105750324	17.122850	69.310432	112.853859
PDZK1	PDZK1	chr1	+	105959979	105998173	0.575795	2.330722	3.794969
DKFZP469N1232	DKFZP469N1232	chr1	+	105960220	105998038	0.000000	0.000000	0.000000
IGF2BP2	IGF2BP2	chr1	+	106302609	106305446	0.943270	3.818199	6.216936
PRKAB2	PRKAB2	chr1	-	106403183	106420237	1.880712	7.612807	12.395460
ACP6	ACP6	chr1	-	106931200	106963521	8.227598	33.303940	54.226730
PDE4DIP	PDE4DIP	chr1	+	107292961	107326195	2.256610	9.134378	14.872941
PDE4DIPP2	PDE4DIPP2	chr1	-	107591247	107635267	3.241556	18.587496	30.264864
SEC22B	SEC22B	chr1	+	107801301	107824632	13.843040	56.034306	91.237175
PHGDH	PHGDH	chr1	-	108302725	108334932	35.532799	143.830826	234.190781
TENT5C	TENT5C	chr1	-	110508114	110526742	0.536364	2.171112	3.535086
ATP1A1	ATP1A1	chr1	-	111758067	111790344	80.429840	325.566498	530.099670
CASQ2	CASQ2	chr1	+	112412288	112483260	1.025583	4.151388	6.759447
SIKE1	SIKE1	chr1	+	113428072	113435270	5.068352	20.515839	33.404667
CSDE1	CSDE1	chr1	+	113450712	113492163	157.637665	638.090881	1038.963623
NRAS	NRAS	chr1	+	113492318	113504473	26.222370	106.143761	172.827286
BCAS2	BCAS2	chr1	+	113632878	113646249	20.924049	84.697044	137.906937
SLC16A1	SLC16A1	chr1	+	115288481	115332832	18.303291	74.088654	120.633957
RHOC	RHOC	chr1	+	115523841	115527521	61.778954	250.070847	407.174805
CAPZA1	CAPZA1	chr1	-	115556617	115609845	97.469597	394.540588	642.405945
CTTNBP2NL	CTTNBP2NL	chr1	-	115771589	115838929	1.297468	5.251933	8.551395
ATP5PB	ATP5PB	chr1	-	116793264	116805032	147.269974	596.124207	970.631836
WDR77	WDR77	chr1	+	116805231	116814194	32.528675	131.670624	214.391098
SLC16A4	SLC16A4	chr1	+	117903579	117919455	0.0	0.0	0.0
GSTM3	GSTM3	chr1	+	118534214	118537695	0.0	0.0	0.0
GSTM5	GSTM5	chr1	-	118555934	118561550	0.000000	0.000000	0.000000
GSTM1	GSTM1	chr1	-	118574004	118580311	25.716623	104.096581	169.493988
GSTM2	GSTM2	chr1	-	118591305	118610540	16.939602	68.568672	111.646103
GSTM4	GSTM4	chr1	-	118605152	118610824	10.240622	41.452320	67.494240
AMPD2	AMPD2	chr1	-	118634738	118645858	18.863894	76.357880	124.328789
SARS1	SARS1	chr1	-	119030249	119053455	119.606720	484.147980	788.307983
TMEM167B	TMEM167B	chr1	-	119172682	119178750	5.784189	23.413429	38.122627
TAF13	TAF13	chr1	+	119192688	119202982	11.509060	46.586742	75.854301
RNPC3	RNPC3	chr1	-	124894067	125033745	8.037881	32.535995	52.976337
S1PR1	S1PR1	chr1	-	127227787	127232521	21.560831	87.274635	142.103851
SLC30A7	SLC30A7	chr1	-	127490671	127572830	3.561182	14.415068	23.471159
VCAM1	VCAM1	chr1	-	127733749	127752942	10.959845	44.363613	72.234512
RTCA	RTCA	chr1	-	128201656	128227493	20.846884	84.384689	137.398346
DBT	DBT	chr1	+	128246044	128305173	4.887733	19.784723	32.214233
DPYD	DPYD	chr1	+	130727376	131612810	0.000000	0.000000	0.000000
RWDD3	RWDD3	chr1	-	133500775	133516870	2.998783	12.138572	19.764481
F3	F3	chr1	+	134233707	134248498	0.0	0.0	0.0
ABCD3	ABCD3	chr1	-	134262772	134359899	9.513128	38.507549	62.699444
TMED5	TMED5	chr1	+	135608414	135640236	15.821458	64.042610	104.276596
MTF2	MTF2	chr1	-	135653750	135715352	11.782109	47.692001	77.653923
DIPK1A	DIPK1A	chr1	+	135837936	135962538	1.676905	6.787831	11.052202
RPAP2	RPAP2	chr1	-	136425859	136517448	8.432899	34.134964	55.579834
TGFBR3	TGFBR3	chr1	+	136939580	137149418	2.617268	10.594262	17.249977
ZNF326	ZNF326	chr1	-	138837894	138871078	9.523180	38.548233	62.765694
GBP6	GBP6	chr1	-	139462537	139485667	4.369087	17.685331	28.795925
GBP1	GBP1	chr1	+	139780855	139793375	21.017738	85.076286	138.524414
GTF2B	GTF2B	chr1	+	139958548	139997347	19.906010	80.576187	131.197205
HS2ST1	HS2ST1	chr1	-	141802219	142003151	2.499400	10.117152	16.473129
SH3GLB1	SH3GLB1	chr1	-	142174023	142216232	19.300472	78.125076	127.206200
ZNHIT6	ZNHIT6	chr1	+	143244635	143300434	20.990347	84.965408	138.343872
GNG5	GNG5	chr1	+	144520601	144528742	130.370758	527.718994	859.252014
RPF1	RPF1	chr1	-	144528736	144547758	20.407503	82.606148	134.502472
PRKACB	PRKACB	chr1	-	144791225	144880829	4.061094	18.700706	30.449196
DNAJB4	DNAJB4	chr1	-	151108962	151121316	6.759325	27.360615	44.549587
DKFZP459E0515	DKFZP459E0515	chr1	-	151108970	151145095	0.000000	0.000000	0.000000
USP33	USP33	chr1	+	151365163	151430765	6.958460	28.166679	45.862053
PIGK	PIGK	chr1	+	151919583	152048619	3.341552	13.526043	22.023613
ST6GALNAC3	ST6GALNAC3	chr1	-	152518917	153071089	0.0	0.0	0.0
TYW3	TYW3	chr1	-	154408255	154441589	20.905087	84.620277	137.781937
CRYZ	CRYZ	chr1	+	154441714	154469856	33.856155	137.044037	223.140289
TNNI3K	TNNI3K	chr1	-	154620353	154933812	0.0	0.0	0.0
FPGT	FPGT	chr1	-	154961089	154970077	7.240788	29.309496	47.722828
NEGR1	NEGR1	chr1	+	157007178	157929127	0.0	0.0	0.0
ZRANB2	ZRANB2	chr1	+	158260335	158278096	34.247913	138.629807	225.722290
CTH	CTH	chr1	-	158922371	158951130	4.055000	16.413960	26.725828
SRSF11	SRSF11	chr1	-	159110586	159142296	46.956455	190.071854	309.482178
LRRC40	LRRC40	chr1	+	159158129	159219465	15.517040	62.810375	102.270226
WLS	WLS	chr1	+	161161767	161273117	0.438423	1.774663	2.889573
GNG12	GNG12	chr1	+	161584242	161715585	3.999438	16.189054	26.359631
SLC35D1	SLC35D1	chr1	+	162351717	162407127	2.953442	11.955038	19.465645
SGIP1	SGIP1	chr1	-	162655396	162871918	0.000000	0.000000	0.000000
AK4	AK4	chr1	-	164152278	164234640	7.298523	29.543198	48.103352
ALG6	ALG6	chr1	-	165986671	166037661	5.286239	21.397810	34.840721
NFIA	NFIA	chr1	-	168040217	168431551	0.634499	2.568346	4.181877
PRKAA2	PRKAA2	chr1	-	172946301	173007014	0.0	0.0	0.0
TTC4	TTC4	chr1	-	174992185	175021805	14.713449	59.557571	96.973892
FAM151A	FAM151A	chr1	+	175122557	175136928	0.0	0.0	0.0
ACOT11	ACOT11	chr1	-	175134711	175161508	0.0	0.0	0.0
DKFZP469C1319	DKFZP469C1319	chr1	+	175559121	175560795	0.244627	0.990209	1.612296
TMEM59	TMEM59	chr1	+	175663284	175691151	11.273088	45.631569	74.299049
YIPF1	YIPF1	chr1	+	175838210	175876886	10.233479	41.423405	67.447159
NDC1	NDC1	chr1	+	175890488	175961066	6.846662	27.714140	45.125210
SCP2	SCP2	chr1	-	176675570	176794156	33.500740	135.605377	220.797806
PRPF38A	PRPF38A	chr1	-	177328611	177342826	19.126318	77.420128	126.058380
BTF3L4	BTF3L4	chr1	-	177659920	177693172	17.645233	71.424950	116.296799
NRDC	NRDC	chr1	+	177890227	177981958	41.503643	167.999786	273.543610
OSBPL9	OSBPL9	chr1	-	177982365	178156818	33.262131	134.639526	219.225174
PDZK1IP1	PDZK1IP1	chr1	+	182660117	182667674	0.0	0.0	0.0
LOC100173781	LOC100173781	chr1	+	182889852	182902135	0.0	0.0	0.0
LRRC41	LRRC41	chr1	+	183587718	183613951	25.747892	104.223145	169.700058
POMGNT1	POMGNT1	chr1	+	183689658	183699435	16.495920	66.772720	108.721863
TSPAN1	TSPAN1	chr1	-	183702157	183707887	0.000000	0.000000	0.000000
PIK3R3	PIK3R3	chr1	+	183755302	183847089	3.484387	14.104214	22.965015
GPBP1L1	GPBP1L1	chr1	+	184238279	184271677	20.494099	82.956673	135.073196
AKR1A1	AKR1A1	chr1	-	184330395	184350194	40.097710	162.308807	264.277313
TOE1	TOE1	chr1	-	184572863	184576686	6.003702	24.301981	39.569401
UROD	UROD	chr1	-	184904400	184907780	53.233944	215.482056	350.856049
RNF220	RNF220	chr1	-	185287800	185551988	7.612954	144.348465	235.033630
DPH2	DPH2	chr1	-	186003506	186007133	22.127224	89.567299	145.836853
KDM4A	KDM4A	chr1	-	186209005	186265424	12.817158	51.881706	84.475754
ELOVL1	ELOVL1	chr1	+	186551517	186556130	65.056541	263.337982	428.776825
SLC2A1	SLC2A1	chr1	+	187085130	187118219	8.793091	35.592960	57.953800
NFYC	NFYC	chr1	-	189316352	189398803	12.114463	49.037315	79.844414
ZNF684	ZNF684	chr1	-	189550806	189566693	0.0	0.0	0.0
ZMPSTE24	ZMPSTE24	chr1	-	189810454	189853335	11.282259	45.668694	74.359489
RLF	RLF	chr1	-	189871128	189951654	1.796643	7.272510	11.841375
PPT1	PPT1	chr1	+	190017886	190047660	18.441511	74.648148	121.544937
CAP1	CAP1	chr1	-	190047724	190080909	161.264374	652.771118	1062.866577
PPIE	PPIE	chr1	-	190353772	190370508	9.458740	38.287395	62.340981
HPCAL4	HPCAL4	chr1	+	190418790	190431684	0.614463	2.487243	4.049823
MACF1	MACF1	chr1	-	190632097	190914301	17.677279	71.554665	116.507996
NDUFS5	NDUFS5	chr1	-	191085429	191100008	4.940252	19.997311	32.560379
DKFZP468J0613	DKFZP468J0613	chr1	-	191085435	191100049	85.329788	345.400696	562.394470
MYCBP	MYCBP	chr1	+	191266778	191277667	8.656801	35.041279	57.055534
UTP11	UTP11	chr1	-	192141212	192153384	25.227673	102.117393	166.271393
CDCA8	CDCA8	chr1	-	192448346	192465451	4.549951	18.417439	29.987970
GNL2	GNL2	chr1	+	192571861	192601296	59.675762	241.557480	393.313049
STK40	STK40	chr1	+	193804879	193852468	5.859587	23.718626	38.619564
KIAA0319L	KIAA0319L	chr1	+	194655800	194784335	1.927506	7.802221	12.703872
ZMYM6	ZMYM6	chr1	+	195208802	195254856	3.491786	14.134165	23.013781
AK2	AK2	chr1	+	197166110	197193111	0.023619	0.095606	0.155669
DKFZP459I032	DKFZP459I032	chr1	+	197166127	197193111	34.754101	140.678772	229.058487
YARS1	YARS1	chr1	+	197397528	197437446	49.467762	200.237198	326.033783
RBBP4	RBBP4	chr1	-	197541684	197571183	121.301094	491.006531	799.475403
HDAC1	HDAC1	chr1	-	197898545	197941662	89.962204	364.151917	592.925903
EIF3I	EIF3I	chr1	-	198007788	198017811	231.598221	937.470764	1526.425293
TMEM234	TMEM234	chr1	+	198017894	198025137	5.059070	20.478268	33.343491
KPNA6	KPNA6	chr1	-	198064798	198128538	5.210236	21.090162	34.339798
ADGRB2	ADGRB2	chr1	+	198498032	198530814	0.074743	0.302547	0.492619
ZCCHC17	ZCCHC17	chr1	-	198913589	198982477	15.089052	61.077957	99.449432
SNRNP40	SNRNP40	chr1	+	198982704	199022074	30.347376	122.841095	200.014511
PUM1	PUM1	chr1	+	199223715	199364921	18.354645	74.296524	120.972404
LAPTM5	LAPTM5	chr1	+	199538485	199564260	408.881927	1655.085449	2694.872803
TRNAU1AP	TRNAU1AP	chr1	-	201702334	201728427	6.396095	25.890320	42.155598
PHACTR4	PHACTR4	chr1	-	201788498	201930810	2.564081	10.378970	16.899431
SESN2	SESN2	chr1	-	202024611	202048159	10.223349	41.382401	67.380394
ATP5IF1	ATP5IF1	chr1	-	202071091	202073023	46.379345	187.735809	305.678528
XKR8	XKR8	chr1	-	202353515	202362860	0.183733	0.743720	1.210954
RPA2	RPA2	chr1	+	202413748	202438487	47.318966	191.539246	311.871429
STX12	STX12	chr1	-	202512918	202564022	18.674917	75.592934	123.083275
GPATCH3	GPATCH3	chr1	+	203471972	203482377	5.355787	21.679327	35.299103
HMGN2	HMGN2	chr1	-	203895083	203898550	119.742477	484.697449	789.202698
DHDDS	DHDDS	chr1	-	203899774	203938445	6.429188	26.024273	42.373711
SH3BGRL3	SH3BGRL3	chr1	-	204094640	204096057	51.358681	207.891327	338.496521
EXTL1	EXTL1	chr1	-	204362531	204377372	0.000000	0.000000	0.000000
MTFR1L	MTFR1L	chr1	-	204572776	204586381	12.642712	51.175579	83.326012
SELENON	SELENON	chr1	-	204588078	204606249	3.609011	14.608671	23.786390
TMEM50A	TMEM50A	chr1	-	205059734	205085029	28.689507	116.130310	189.087769
CLIC4	CLIC4	chr1	-	205566668	205663607	12.814384	51.870480	84.457474
SRRM1	SRRM1	chr1	-	205739676	205770087	15.115918	61.186703	99.626503
NIPAL3	NIPAL3	chr1	-	205961231	206017556	4.033807	16.328175	26.586149
SRSF10	SRSF10	chr1	+	206460205	206471801	21.313053	86.271667	140.470795
HMGCL	HMGCL	chr1	+	206601354	206625274	14.130494	57.197876	93.131744
GALE	GALE	chr1	+	206626416	206632095	36.511555	147.792664	240.641586
RPL11	RPL11	chr1	-	206727826	206732438	2716.749023	10996.944336	17905.640625
ZNF436	ZNF436	chr1	+	207054471	207063041	1.636020	6.622334	10.782736
HNRNPR	HNRNPR	chr1	+	207078078	207112227	78.329659	317.065338	516.257751
DKFZP459H027	DKFZP459H027	chr1	+	208786366	208861620	0.000000	0.000000	0.000000
RAP1GAP	RAP1GAP	chr1	+	208805176	208861620	0.042457	0.171859	0.279827
CAPZB	CAPZB	chr1	+	210862528	211011836	180.096558	729.000732	1186.986450
EMC1	EMC1	chr1	+	211096585	211130418	12.734406	51.546745	83.930351
ALDH4A1	ALDH4A1	chr1	+	211470790	211485571	5.305838	21.477142	34.969894
KLHDC7A	KLHDC7A	chr1	-	211873938	211879046	0.111372	0.450815	0.734034
ARHGEF10L	ARHGEF10L	chr1	-	212689885	212846770	1.053682	4.265128	6.944643
SZRD1	SZRD1	chr1	-	214031392	214062793	37.354206	151.203568	246.195374
DKFZP469P2135	DKFZP469P2135	chr1	-	214033173	214062793	6.384326	25.842682	42.078030
FBXO42	FBXO42	chr1	+	214076993	214190451	4.057739	16.425047	26.743881
FBLIM1	FBLIM1	chr1	-	214677626	214697337	0.0	0.0	0.0
DNAJC16	DNAJC16	chr1	-	214898051	214945387	3.541892	14.336989	23.344028
MFN2	MFN2	chr1	-	218268984	218300560	23.505682	95.147064	154.922043
PLOD1	PLOD1	chr1	-	218306284	218350123	29.911873	121.078247	197.144180
CLCN6	CLCN6	chr1	-	218450846	218486745	4.818321	19.503757	31.756752
AGTRAP	AGTRAP	chr1	-	218539950	218560942	0.309884	1.254359	2.042394
TARDBP	TARDBP	chr1	-	219334585	219348191	36.575912	148.053162	241.065750
DFFA	DFFA	chr1	+	219904883	219917173	12.410218	50.234489	81.793686
CORT	CORT	chr1	-	219925314	219927414	0.000000	0.000000	0.000000
APITD1	APITD1	chr1	-	219934356	219950939	8.488201	34.358814	55.944321
SLC2A5	SLC2A5	chr1	+	221375577	221409052	4.796375	19.414923	31.612110
ENO1	ENO1	chr1	+	221568213	221585578	1070.579956	4333.528320	7056.014648
DNAJC11	DNAJC11	chr1	+	223806162	223875792	17.702370	71.656227	116.673378
ZBTB48	ZBTB48	chr1	-	223920554	223930431	8.028293	32.497185	52.913139
ACOT7	ACOT7	chr1	+	224161332	224263735	19.432037	78.657623	128.073334
KCNAB2	KCNAB2	chr1	-	224432899	224543545	18.209538	73.709167	120.016052
TPRG1L	TPRG1L	chr1	-	227036533	227041616	23.771994	96.225044	156.677261
PRXL2B	PRXL2B	chr1	-	227964923	227969451	13.686770	55.401752	90.207222
PANK4	PANK4	chr1	+	228027994	228045956	5.858331	23.713543	38.611286
