Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
TOR1AIP1	TOR1AIP1	chr1	-	70946168	70984028	1.718059	5.318561	5.641850
IFRG15	IFRG15	chr1	+	70988542	71003735	2.375213	7.352900	7.799846
CACYBP	CACYBP	chr1	-	75942513	75953235	107.712318	333.442902	353.711212
RABGAP1L	RABGAP1L	chr1	-	75979565	76806446	9.250163	63.967773	67.856049
SERPINC1	SERPINC1	chr1	+	77069464	77086110	0.0	0.0	0.0
DARS2	DARS2	chr1	-	77132732	77167185	1.811522	5.607893	5.948768
KLHL20	KLHL20	chr1	-	77206533	77278026	0.0	0.0	0.0
PRDX6	PRDX6	chr1	-	77521466	77528902	516.616699	1599.280151	1696.492310
FMO4	FMO4	chr1	-	79771572	79801431	0.0	0.0	0.0
FMO1	FMO1	chr1	-	79834793	79873814	0.0	0.0	0.0
FMO2	FMO2	chr1	-	79913663	79938670	0.0	0.0	0.0
FMO3	FMO3	chr1	-	80009219	80037068	0.0	0.0	0.0
KIFAP3	KIFAP3	chr1	+	81068789	81227539	0.000000	0.000000	0.000000
CCDC181	CCDC181	chr1	+	81735368	81768465	0.785052	2.430270	2.577994
BLZF1	BLZF1	chr1	-	81775137	81796829	3.186795	9.865299	10.464960
ATP1B1	ATP1B1	chr1	-	81994486	82021197	2.027078	6.275186	6.656622
DCAF6	DCAF6	chr1	-	83123739	83264565	12.705011	43.523605	46.169182
MPC2	MPC2	chr1	+	83264880	83284217	43.639980	135.095428	143.307190
STYXL2	STYXL2	chr1	-	84095341	84133307	0.0	0.0	0.0
TADA1	TADA1	chr1	+	84348853	84368550	4.852913	15.023068	15.936243
POGK	POGK	chr1	-	84371321	84384318	0.926781	2.869018	3.043411
TMCO1	TMCO1	chr1	+	85473818	85521963	5.667569	17.544983	18.611452
ALDH9A1	ALDH9A1	chr1	+	85547389	85585244	10.032787	31.058304	32.946178
RXRG	RXRG	chr1	+	85808149	85852821	0.0	0.0	0.0
RGS4	RGS4	chr1	-	88272669	88280094	0.0	0.0	0.0
UHMK1	UHMK1	chr1	-	88850267	88877559	1.196581	3.704232	3.929394
TOMM40L	TOMM40L	chr1	-	90076135	90080802	4.162505	12.885786	13.669047
APOA2	APOA2	chr1	+	90083452	90084418	0.0	0.0	0.0
B4GALT3	B4GALT3	chr1	+	90129392	90135825	9.493015	29.387342	31.173647
DEDD	DEDD	chr1	+	90177222	90188603	6.660544	20.618916	21.872234
USF1	USF1	chr1	+	90264194	90270575	32.807785	101.562416	107.735878
NCSTN	NCSTN	chr1	-	91007377	91025321	0.095383	0.295275	0.313224
COPA	COPA	chr1	+	91025406	91078740	14.772089	45.729668	48.509338
PEX19	PEX19	chr1	+	91083737	91091671	4.473847	13.849600	14.691447
DCAF8	DCAF8	chr1	+	91106433	91153681	10.571203	32.725067	34.714256
PEA15	PEA15	chr1	-	91154031	91163945	12.938827	40.054474	42.489182
ATP1A2	ATP1A2	chr1	-	91228384	91257324	0.0	0.0	0.0
PIGM	PIGM	chr1	+	91347129	91349329	3.345298	10.355974	10.985460
IFI16	IFI16	chr1	-	92366172	92416343	21.595739	66.853508	70.917191
CCT3	CCT3	chr1	+	95176062	95186996	551.793884	1708.177490	1812.008789
SLC25A44	SLC25A44	chr1	-	95283884	95302945	10.378155	32.127453	34.080315
SEMA4A	SEMA4A	chr1	-	95322857	95350601	20.981373	64.951622	68.899696
SYT11	SYT11	chr1	-	95633804	95656133	6.115345	18.931154	20.081882
MSTO2P	MSTO2P	chr1	-	95765968	95771707	10.751469	33.283112	35.306221
MSTO1	MSTO1	chr1	-	95766768	95909310	0.000000	0.000000	0.000000
DAP3	DAP3	chr1	-	95779284	95826769	38.058605	117.817284	124.978783
ASH1L	ASH1L	chr1	+	95827137	96188194	0.327351	1.013374	1.074972
YY1AP1	YY1AP1	chr1	+	95835555	95854874	22.475849	69.578049	73.807343
FDPS	FDPS	chr1	-	96204152	96216061	403.939819	1250.468506	1326.478027
GBA	GBA	chr1	+	96254388	96286018	30.636726	94.841522	100.606453
DKFZP469B0323	DKFZP469B0323	chr1	+	96258083	96286018	0.000000	0.000000	0.000000
DPM3	DPM3	chr1	+	96350152	96350772	20.648935	63.922504	67.808029
SHC1	SHC1	chr1	+	96522415	96533581	8.076007	25.000736	26.520403
PYGO2	PYGO2	chr1	+	96534076	96538823	6.185024	19.146858	20.310698
C1H1orf43	C1H1orf43	chr1	+	97282960	97296253	45.676758	141.400650	149.995667
DKFZP459F0215	DKFZP459F0215	chr1	+	97321111	97348397	63.471058	196.486130	208.429504
TPM3	TPM3	chr1	+	97321115	97348397	13.239642	40.985703	43.477013
RPS27	RPS27	chr1	-	97518170	97519555	1332.527588	4125.079590	4375.822266
INTS3	INTS3	chr1	-	97742449	97789825	8.518640	26.370987	27.973944
DKFZP469C1132	DKFZP469C1132	chr1	+	97850579	97859488	0.000000	0.000000	0.000000
ILF2	ILF2	chr1	+	97850620	97859612	154.795807	479.198334	508.326385
S100A1	S100A1	chr1	-	97889598	97893206	0.0	0.0	0.0
S100A15A	S100A15A	chr1	+	98126044	98129073	0.0	0.0	0.0
RORC	RORC	chr1	+	99749691	99774552	0.0	0.0	0.0
OAZ3	OAZ3	chr1	-	99810530	99817383	0.0	0.0	0.0
TUFT1	TUFT1	chr1	-	99814343	100043405	0.0	0.0	0.0
SELENBP1	SELENBP1	chr1	+	100209872	100218237	0.0	0.0	0.0
VPS72	VPS72	chr1	+	100409087	100430468	11.651682	36.069885	38.262386
MLLT11	MLLT11	chr1	-	100535381	100543486	21.560720	66.745102	70.802193
CDC42SE1	CDC42SE1	chr1	+	100544257	100552840	28.354267	87.775757	93.111198
MINDY1	MINDY1	chr1	+	100597071	100607158	0.890679	2.757257	2.924857
CERS2	CERS2	chr1	+	100630744	100639953	24.514929	75.890388	80.503372
ARNT	ARNT	chr1	+	100730207	100797929	1.675006	5.185284	5.500470
PRPF3	PRPF3	chr1	-	101276269	101302040	1.025886	3.175816	3.368857
ANP32E	ANP32E	chr1	+	101389244	101409972	16.603439	51.398941	54.523220
SV2A	SV2A	chr1	+	101718944	101732679	0.758584	2.348334	2.491077
BOLA1	BOLA1	chr1	-	101732987	101736694	19.230715	59.532146	63.150799
H2BC21	H2BC21	chr1	+	101751004	101753218	0.166914	0.516712	0.548121
HJV	HJV	chr1	+	105637076	105641337	0.0	0.0	0.0
TXNIP	TXNIP	chr1	+	105663991	105667232	0.000000	0.000000	0.000000
PEX11B	PEX11B	chr1	+	105742866	105750324	8.971745	27.773653	29.461874
PDZK1	PDZK1	chr1	+	105959979	105998173	0.604727	1.872042	1.985833
DKFZP469N1232	DKFZP469N1232	chr1	+	105960220	105998038	0.000000	0.000000	0.000000
IGF2BP2	IGF2BP2	chr1	+	106302609	106305446	0.0	0.0	0.0
PRKAB2	PRKAB2	chr1	-	106403183	106420237	0.0	0.0	0.0
ACP6	ACP6	chr1	-	106931200	106963521	0.000000	0.000000	0.000000
PDE4DIP	PDE4DIP	chr1	+	107292961	107326195	0.454545	1.407126	1.492658
PDE4DIPP2	PDE4DIPP2	chr1	-	107591247	107635267	1.226127	5.383008	5.710213
SEC22B	SEC22B	chr1	+	107801301	107824632	5.437671	16.833294	17.856501
PHGDH	PHGDH	chr1	-	108302725	108334932	91.401360	282.949402	300.148438
TENT5C	TENT5C	chr1	-	110508114	110526742	0.0	0.0	0.0
ATP1A1	ATP1A1	chr1	-	111758067	111790344	27.915909	86.418732	91.671684
CASQ2	CASQ2	chr1	+	112412288	112483260	0.0	0.0	0.0
SIKE1	SIKE1	chr1	+	113428072	113435270	15.727956	48.688728	51.648266
CSDE1	CSDE1	chr1	+	113450712	113492163	46.202549	143.028320	151.722290
NRAS	NRAS	chr1	+	113492318	113504473	9.531591	29.506762	31.300325
BCAS2	BCAS2	chr1	+	113632878	113646249	15.483384	47.931610	50.845131
SLC16A1	SLC16A1	chr1	+	115288481	115332832	10.428358	32.282864	34.245174
RHOC	RHOC	chr1	+	115523841	115527521	196.911255	609.574280	646.627197
CAPZA1	CAPZA1	chr1	-	115556617	115609845	14.155282	43.820232	46.483837
CTTNBP2NL	CTTNBP2NL	chr1	-	115771589	115838929	0.495724	1.534603	1.627884
ATP5PB	ATP5PB	chr1	-	116793264	116805032	142.232361	440.305908	467.069916
WDR77	WDR77	chr1	+	116805231	116814194	31.779758	98.379974	104.359993
SLC16A4	SLC16A4	chr1	+	117903579	117919455	0.0	0.0	0.0
GSTM3	GSTM3	chr1	+	118534214	118537695	0.000000	0.000000	0.000000
GSTM5	GSTM5	chr1	-	118555934	118561550	0.000000	0.000000	0.000000
GSTM1	GSTM1	chr1	-	118574004	118580311	55.932907	173.150406	183.675339
GSTM2	GSTM2	chr1	-	118591305	118610540	12.327798	38.162922	40.482651
GSTM4	GSTM4	chr1	-	118605152	118610824	3.334034	10.321104	10.948471
AMPD2	AMPD2	chr1	-	118634738	118645858	10.967695	33.952477	36.016273
SARS1	SARS1	chr1	-	119030249	119053455	164.935211	510.586700	541.622681
TMEM167B	TMEM167B	chr1	-	119172682	119178750	4.818284	14.915868	15.822527
TAF13	TAF13	chr1	+	119192688	119202982	3.893726	12.053732	12.786416
RNPC3	RNPC3	chr1	-	124894067	125033745	1.406029	4.352616	4.617190
S1PR1	S1PR1	chr1	-	127227787	127232521	23.758261	73.547981	78.018585
SLC30A7	SLC30A7	chr1	-	127490671	127572830	0.0	0.0	0.0
VCAM1	VCAM1	chr1	-	127733749	127752942	0.0	0.0	0.0
RTCA	RTCA	chr1	-	128201656	128227493	18.052202	55.883850	59.280743
DBT	DBT	chr1	+	128246044	128305173	0.0	0.0	0.0
DPYD	DPYD	chr1	+	130727376	131612810	0.0	0.0	0.0
RWDD3	RWDD3	chr1	-	133500775	133516870	2.355111	7.290671	7.733834
F3	F3	chr1	+	134233707	134248498	0.0	0.0	0.0
ABCD3	ABCD3	chr1	-	134262772	134359899	2.653352	8.213930	8.713213
TMED5	TMED5	chr1	+	135608414	135640236	5.352075	16.568316	17.575417
MTF2	MTF2	chr1	-	135653750	135715352	1.949133	6.033893	6.400662
DIPK1A	DIPK1A	chr1	+	135837936	135962538	0.0	0.0	0.0
RPAP2	RPAP2	chr1	-	136425859	136517448	4.285381	13.266170	14.072553
TGFBR3	TGFBR3	chr1	+	136939580	137149418	0.339107	1.049767	1.113577
ZNF326	ZNF326	chr1	-	138837894	138871078	1.743875	5.398480	5.726626
GBP6	GBP6	chr1	-	139462537	139485667	0.0	0.0	0.0
GBP1	GBP1	chr1	+	139780855	139793375	8.170988	25.294767	26.832308
GTF2B	GTF2B	chr1	+	139958548	139997347	19.487261	60.326332	63.993259
HS2ST1	HS2ST1	chr1	-	141802219	142003151	1.035234	3.204754	3.399554
SH3GLB1	SH3GLB1	chr1	-	142174023	142216232	2.807433	8.690915	9.219192
ZNHIT6	ZNHIT6	chr1	+	143244635	143300434	8.065185	24.967236	26.484865
GNG5	GNG5	chr1	+	144520601	144528742	245.292450	759.347046	805.503845
RPF1	RPF1	chr1	-	144528736	144547758	67.902878	210.205612	222.982941
PRKACB	PRKACB	chr1	-	144791225	144880829	0.269763	0.886516	0.940403
DNAJB4	DNAJB4	chr1	-	151108962	151121316	3.061723	9.478116	10.054242
DKFZP459E0515	DKFZP459E0515	chr1	-	151108970	151145095	0.000000	0.000000	0.000000
USP33	USP33	chr1	+	151365163	151430765	0.674457	2.087903	2.214816
PIGK	PIGK	chr1	+	151919583	152048619	0.895154	2.771111	2.939552
ST6GALNAC3	ST6GALNAC3	chr1	-	152518917	153071089	0.0	0.0	0.0
TYW3	TYW3	chr1	-	154408255	154441589	3.756653	11.629397	12.336288
CRYZ	CRYZ	chr1	+	154441714	154469856	2.946921	9.122726	9.677250
TNNI3K	TNNI3K	chr1	-	154620353	154933812	0.0	0.0	0.0
FPGT	FPGT	chr1	-	154961089	154970077	5.081705	15.731335	16.687563
NEGR1	NEGR1	chr1	+	157007178	157929127	0.0	0.0	0.0
ZRANB2	ZRANB2	chr1	+	158260335	158278096	24.735788	76.574097	81.228645
CTH	CTH	chr1	-	158922371	158951130	11.914798	36.884407	39.126423
SRSF11	SRSF11	chr1	-	159110586	159142296	25.184221	77.962303	82.701233
LRRC40	LRRC40	chr1	+	159158129	159219465	0.498568	1.543407	1.637223
WLS	WLS	chr1	+	161161767	161273117	0.539546	1.670262	1.771789
GNG12	GNG12	chr1	+	161584242	161715585	4.245898	13.143943	13.942897
SLC35D1	SLC35D1	chr1	+	162351717	162407127	2.954282	9.145513	9.701422
SGIP1	SGIP1	chr1	-	162655396	162871918	0.000000	0.000000	0.000000
AK4	AK4	chr1	-	164152278	164234640	1.843846	5.707958	6.054915
ALG6	ALG6	chr1	-	165986671	166037661	7.016920	21.722141	23.042521
NFIA	NFIA	chr1	-	168040217	168431551	0.0	0.0	0.0
PRKAA2	PRKAA2	chr1	-	172946301	173007014	0.0	0.0	0.0
TTC4	TTC4	chr1	-	174992185	175021805	9.866648	30.543987	32.400600
FAM151A	FAM151A	chr1	+	175122557	175136928	0.000000	0.000000	0.000000
ACOT11	ACOT11	chr1	-	175134711	175161508	0.000000	0.000000	0.000000
DKFZP469C1319	DKFZP469C1319	chr1	+	175559121	175560795	0.0	0.0	0.0
TMEM59	TMEM59	chr1	+	175663284	175691151	18.489567	57.237793	60.716980
YIPF1	YIPF1	chr1	+	175838210	175876886	13.303965	41.184822	43.688240
NDC1	NDC1	chr1	+	175890488	175961066	3.093944	9.577862	10.160051
SCP2	SCP2	chr1	-	176675570	176794156	10.380753	32.135494	34.088848
PRPF38A	PRPF38A	chr1	-	177328611	177342826	26.695435	82.640533	87.663826
BTF3L4	BTF3L4	chr1	-	177659920	177693172	18.421904	57.028324	60.494789
NRDC	NRDC	chr1	+	177890227	177981958	21.475332	66.480766	70.521790
OSBPL9	OSBPL9	chr1	-	177982365	178156818	9.074742	28.092503	29.800100
PDZK1IP1	PDZK1IP1	chr1	+	182660117	182667674	1.404126	4.346725	4.610940
LOC100173781	LOC100173781	chr1	+	182889852	182902135	0.0	0.0	0.0
LRRC41	LRRC41	chr1	+	183587718	183613951	8.090790	25.046499	26.568949
POMGNT1	POMGNT1	chr1	+	183689658	183699435	16.292002	50.434830	53.500507
TSPAN1	TSPAN1	chr1	-	183702157	183707887	0.0	0.0	0.0
PIK3R3	PIK3R3	chr1	+	183755302	183847089	0.0	0.0	0.0
GPBP1L1	GPBP1L1	chr1	+	184238279	184271677	11.737198	36.334614	38.543209
AKR1A1	AKR1A1	chr1	-	184330395	184350194	165.867081	513.471497	544.682800
TOE1	TOE1	chr1	-	184572863	184576686	10.367002	32.092922	34.043690
UROD	UROD	chr1	-	184904400	184907780	146.732422	454.236664	481.847382
RNF220	RNF220	chr1	-	185287800	185551988	5.256328	48.899368	51.871712
DPH2	DPH2	chr1	-	186003506	186007133	21.111897	65.355682	69.328323
KDM4A	KDM4A	chr1	-	186209005	186265424	1.900917	5.884632	6.242328
ELOVL1	ELOVL1	chr1	+	186551517	186556130	37.634056	116.503014	123.584633
SLC2A1	SLC2A1	chr1	+	187085130	187118219	3.652271	11.306264	11.993514
NFYC	NFYC	chr1	-	189316352	189398803	11.120083	34.424225	36.516697
ZNF684	ZNF684	chr1	-	189550806	189566693	1.333333	4.127573	4.378467
ZMPSTE24	ZMPSTE24	chr1	-	189810454	189853335	10.386039	32.151855	34.106205
RLF	RLF	chr1	-	189871128	189951654	0.840902	2.603164	2.761397
PPT1	PPT1	chr1	+	190017886	190047660	12.978893	40.178505	42.620750
CAP1	CAP1	chr1	-	190047724	190080909	27.931784	86.467865	91.723808
PPIE	PPIE	chr1	-	190353772	190370508	28.365643	87.810959	93.148544
HPCAL4	HPCAL4	chr1	+	190418790	190431684	1.373984	4.253416	4.511959
MACF1	MACF1	chr1	-	190632097	190914301	4.082368	12.637707	13.405889
NDUFS5	NDUFS5	chr1	-	191085429	191100008	21.796783	67.475876	71.577393
DKFZP468J0613	DKFZP468J0613	chr1	-	191085435	191100049	596.814453	1847.546875	1959.849731
MYCBP	MYCBP	chr1	+	191266778	191277667	5.166667	15.994349	16.966564
UTP11	UTP11	chr1	-	192141212	192153384	19.866337	61.499825	65.238083
CDCA8	CDCA8	chr1	-	192448346	192465451	13.305047	41.188175	43.691792
GNL2	GNL2	chr1	+	192571861	192601296	49.402550	152.934509	162.230606
STK40	STK40	chr1	+	193804879	193852468	11.040771	34.178696	36.256248
KIAA0319L	KIAA0319L	chr1	+	194655800	194784335	1.051429	3.254888	3.452736
ZMYM6	ZMYM6	chr1	+	195208802	195254856	0.579004	1.792411	1.901363
AK2	AK2	chr1	+	197166110	197193111	4.927677	15.254513	16.181757
DKFZP459I032	DKFZP459I032	chr1	+	197166127	197193111	22.827770	70.667480	74.962997
YARS1	YARS1	chr1	+	197397528	197437446	77.783386	240.792496	255.429047
RBBP4	RBBP4	chr1	-	197541684	197571183	18.349327	56.803650	60.256458
HDAC1	HDAC1	chr1	-	197898545	197941662	74.014992	229.126755	243.054199
EIF3I	EIF3I	chr1	-	198007788	198017811	275.281433	852.183411	903.983215
TMEM234	TMEM234	chr1	+	198017894	198025137	14.923061	46.197029	49.005108
KPNA6	KPNA6	chr1	-	198064798	198128538	0.796238	2.464898	2.614727
ADGRB2	ADGRB2	chr1	+	198498032	198530814	0.837933	2.593973	2.751647
ZCCHC17	ZCCHC17	chr1	-	198913589	198982477	35.553978	110.063751	116.753960
SNRNP40	SNRNP40	chr1	+	198982704	199022074	41.256554	127.717110	135.480377
PUM1	PUM1	chr1	+	199223715	199364921	0.000000	0.000000	0.000000
LAPTM5	LAPTM5	chr1	+	199538485	199564260	69.958504	216.569168	229.733307
TRNAU1AP	TRNAU1AP	chr1	-	201702334	201728427	25.441706	78.759384	83.546768
PHACTR4	PHACTR4	chr1	-	201788498	201930810	0.000000	0.000000	0.000000
SESN2	SESN2	chr1	-	202024611	202048159	10.388761	32.160278	34.115139
ATP5IF1	ATP5IF1	chr1	-	202071091	202073023	156.710876	485.126801	514.615173
XKR8	XKR8	chr1	-	202353515	202362860	0.0	0.0	0.0
RPA2	RPA2	chr1	+	202413748	202438487	57.432182	177.791687	188.598740
STX12	STX12	chr1	-	202512918	202564022	5.309560	16.436701	17.435804
GPATCH3	GPATCH3	chr1	+	203471972	203482377	7.212523	22.327667	23.684851
HMGN2	HMGN2	chr1	-	203895083	203898550	535.976440	1659.211792	1760.066772
DHDDS	DHDDS	chr1	-	203899774	203938445	1.264954	3.915893	4.153921
SH3BGRL3	SH3BGRL3	chr1	-	204094640	204096057	77.912773	241.193054	255.853943
EXTL1	EXTL1	chr1	-	204362531	204377372	0.0	0.0	0.0
MTFR1L	MTFR1L	chr1	-	204572776	204586381	8.878185	27.484026	29.154636
SELENON	SELENON	chr1	-	204588078	204606249	4.280009	13.249539	14.054912
TMEM50A	TMEM50A	chr1	-	205059734	205085029	22.811596	70.617416	74.909882
CLIC4	CLIC4	chr1	-	205566668	205663607	12.023899	37.222149	39.484692
SRRM1	SRRM1	chr1	-	205739676	205770087	5.998688	18.570023	19.698797
NIPAL3	NIPAL3	chr1	-	205961231	206017556	0.506943	1.569333	1.664725
SRSF10	SRSF10	chr1	+	206460205	206471801	11.815026	36.575542	38.798782
HMGCL	HMGCL	chr1	+	206601354	206625274	11.442307	35.421726	37.574833
GALE	GALE	chr1	+	206626416	206632095	92.813858	287.322083	304.786896
RPL11	RPL11	chr1	-	206727826	206732438	6925.721191	21439.820312	22743.037109
ZNF436	ZNF436	chr1	+	207054471	207063041	0.0	0.0	0.0
HNRNPR	HNRNPR	chr1	+	207078078	207112227	32.281765	99.934029	106.008507
DKFZP459H027	DKFZP459H027	chr1	+	208786366	208861620	0.0	0.0	0.0
RAP1GAP	RAP1GAP	chr1	+	208805176	208861620	0.0	0.0	0.0
CAPZB	CAPZB	chr1	+	210862528	211011836	113.614059	351.712830	373.091644
EMC1	EMC1	chr1	+	211096585	211130418	3.859071	11.946450	12.672614
ALDH4A1	ALDH4A1	chr1	+	211470790	211485571	0.934610	2.893254	3.069120
KLHDC7A	KLHDC7A	chr1	-	211873938	211879046	0.0	0.0	0.0
ARHGEF10L	ARHGEF10L	chr1	-	212689885	212846770	0.309976	0.959587	1.017915
SZRD1	SZRD1	chr1	-	214031392	214062793	18.869444	58.413769	61.964443
DKFZP469P2135	DKFZP469P2135	chr1	-	214033173	214062793	0.000000	0.000000	0.000000
FBXO42	FBXO42	chr1	+	214076993	214190451	1.523532	4.716368	5.003052
FBLIM1	FBLIM1	chr1	-	214677626	214697337	0.0	0.0	0.0
DNAJC16	DNAJC16	chr1	-	214898051	214945387	0.000000	0.000000	0.000000
MFN2	MFN2	chr1	-	218268984	218300560	9.515873	29.458103	31.248709
PLOD1	PLOD1	chr1	-	218306284	218350123	6.353012	19.666895	20.862345
CLCN6	CLCN6	chr1	-	218450846	218486745	0.628717	1.946307	2.064613
AGTRAP	AGTRAP	chr1	-	218539950	218560942	0.605842	1.875493	1.989495
TARDBP	TARDBP	chr1	-	219334585	219348191	30.530102	94.511436	100.256310
DFFA	DFFA	chr1	+	219904883	219917173	5.750887	17.802908	18.885056
CORT	CORT	chr1	-	219925314	219927414	0.0	0.0	0.0
APITD1	APITD1	chr1	-	219934356	219950939	33.884552	104.895744	111.271820
SLC2A5	SLC2A5	chr1	+	221375577	221409052	14.960599	46.313232	49.128380
ENO1	ENO1	chr1	+	221568213	221585578	1945.099609	6021.406250	6387.416992
DNAJC11	DNAJC11	chr1	+	223806162	223875792	18.849661	58.352528	61.899475
ZBTB48	ZBTB48	chr1	-	223920554	223930431	23.666969	73.265373	77.718803
ACOT7	ACOT7	chr1	+	224161332	224263735	40.094315	124.119186	131.663757
KCNAB2	KCNAB2	chr1	-	224432899	224543545	13.309628	41.202354	43.706837
TPRG1L	TPRG1L	chr1	-	227036533	227041616	42.347305	131.093735	139.062241
PRXL2B	PRXL2B	chr1	-	227964923	227969451	0.429183	1.328613	1.409373
PANK4	PANK4	chr1	+	228027994	228045956	2.255094	6.981050	7.405393
RER1	RER1	chr1	-	228149547	228159279	43.671875	135.194168	143.411942
PRKCZ	PRKCZ	chr1	-	228364094	228482915	0.000000	0.000000	0.000000
